aX,aY,aZ,gX,gY,gZ
0.824,3.973,-1.979,-9.705,-41.077,50.720
1.125,4.000,-1.715,-20.081,51.147,96.802
3.526,4.000,-0.432,-40.283,214.172,141.235
4.000,4.000,4.000,-15.015,314.209,201.233
3.415,3.458,2.762,254.578,10.742,442.749
2.584,-2.735,-3.789,595.276,-291.260,618.774
2.118,-2.395,-1.739,542.969,-211.548,396.484
1.801,-1.991,-0.830,591.003,-191.345,252.197
1.569,-1.296,-2.218,595.764,-276.733,224.487
0.989,-2.111,-2.812,480.652,-286.194,232.727
0.503,-2.528,-1.276,356.018,-206.604,253.113
0.426,0.316,-0.489,251.587,-133.179,265.320
0.526,3.080,0.278,221.680,-85.876,316.040
1.212,2.379,0.812,199.341,-79.895,402.161
1.706,0.340,0.241,223.022,-106.873,465.332
1.233,0.693,0.562,249.634,-120.605,444.458
1.420,0.331,0.491,271.423,-132.141,424.988
1.949,-0.402,0.238,282.654,-151.733,399.658
1.632,-1.149,0.534,273.010,-199.829,359.070
0.827,-1.654,0.861,227.844,-244.385,309.387
0.099,-1.530,1.429,158.936,-271.912,250.977
-0.257,-0.819,1.795,91.492,-287.720,201.416
-0.621,0.328,1.586,41.016,-294.678,168.091
-0.712,1.215,1.419,22.888,-285.156,145.264
-0.861,1.532,1.228,29.663,-269.531,122.131
-1.067,1.363,1.080,53.101,-247.437,103.027
-1.363,0.800,0.899,70.190,-216.187,92.041
-1.503,0.245,0.726,64.941,-182.068,84.473
-1.657,-0.083,0.547,41.626,-152.222,76.111
-1.511,0.167,0.856,10.071,-121.277,65.186
-1.251,0.187,1.071,-18.677,-96.375,52.917
-1.046,0.118,1.085,-35.278,-77.698,31.677
-0.990,0.091,0.859,-40.039,-63.416,8.301
-1.054,-0.066,0.595,-39.063,-48.340,-10.315
-1.108,-0.362,0.353,-40.100,-30.029,-24.414
-1.030,-0.505,0.200,-50.537,-11.719,-38.513
-0.887,-0.484,0.309,-69.336,2.319,-54.810
-0.664,-0.319,0.568,-87.036,15.381,-72.083
-0.475,-0.039,0.679,-103.516,24.963,-89.050
-0.408,0.271,0.653,-114.380,32.043,-102.295
-0.333,0.501,0.642,-116.760,42.358,-110.168
-0.229,0.662,0.634,-114.075,52.307,-114.441
-0.166,0.768,0.619,-114.075,57.739,-113.770
-0.141,0.793,0.597,-116.699,60.120,-107.178
-0.157,0.828,0.544,-118.469,60.181,-100.037
-0.244,0.979,0.512,-119.446,57.983,-95.215
-0.336,1.164,0.439,-116.821,53.833,-89.844
-0.380,1.314,0.346,-112.488,46.509,-79.712
-0.364,1.397,0.311,-111.572,40.222,-65.674
-0.341,1.368,0.363,-116.272,41.687,-49.316
-0.252,1.227,0.522,-126.221,53.345,-33.813
-0.034,1.070,0.772,-139.587,64.819,-20.569
0.087,0.983,0.900,-148.254,58.228,-10.986
0.077,0.907,0.876,-143.372,39.429,-8.057
0.030,0.925,0.758,-127.502,24.292,-13.000
0.007,1.045,0.647,-109.009,16.479,-17.151
-0.014,1.198,0.561,-89.417,11.169,-14.771
-0.083,1.266,0.443,-68.420,5.615,-7.812
-0.153,1.269,0.335,-51.270,3.784,-2.441
-0.125,1.279,0.424,-45.349,4.822,1.038
-0.133,1.125,0.479,-54.443,-3.174,5.005
-0.141,1.008,0.572,-70.923,-16.846,1.587
-0.197,1.074,0.671,-82.642,-30.334,-4.089
-0.274,1.157,0.726,-77.515,-36.011,-4.089
-0.281,1.175,0.723,-57.495,-30.640,-1.465
-0.214,1.126,0.656,-39.124,-23.437,0.671
-0.122,1.140,0.544,-29.785,-20.203,-0.916
-0.105,1.064,0.403,-24.536,-21.606,-1.892
-0.134,1.005,0.331,-18.005,-24.841,-3.479
-0.044,1.160,0.426,-10.132,-27.405,-6.470
-0.189,0.940,0.269,0.793,-37.964,-3.906
-0.177,0.786,0.414,12.146,-46.387,-5.493
-0.228,0.723,0.295,16.113,-60.059,-11.780
-0.288,0.701,0.325,14.526,-57.617,-15.442
-0.262,0.731,0.309,11.108,-53.162,-20.752
-0.371,0.935,0.177,7.202,-44.006,-31.128
-0.417,0.850,0.150,3.174,-22.644,-31.311
-0.347,1.182,0.273,-10.193,-3.052,-37.109
-0.238,1.058,0.439,-13.306,-1.404,-29.968
-0.240,0.991,0.378,-5.737,-14.282,-33.447
-0.304,0.914,0.247,2.991,-25.635,-40.161
-0.337,0.912,0.196,6.165,-23.437,-46.021
