aX,aY,aZ,gX,gY,gZ
-0.159,-0.300,0.881,-7.263,4.822,15.015
-0.160,-0.314,0.879,-7.019,10.437,14.954
-0.159,-0.325,0.879,-5.493,14.526,14.099
-0.161,-0.325,0.882,-3.235,15.503,12.634

-0.090,0.937,1.214,35.645,234.009,47.424
-0.084,1.027,1.303,40.955,253.601,53.040
-0.041,1.104,1.389,46.021,265.503,55.725
0.013,1.156,1.464,48.828,267.090,56.030
0.057,1.234,1.517,45.837,261.292,54.871
0.087,1.326,1.551,38.574,252.563,55.725
0.101,1.413,1.544,27.588,243.408,59.265
0.104,1.475,1.507,14.832,239.075,62.622
0.110,1.507,1.443,2.747,241.882,64.331
0.099,1.505,1.363,-8.667,248.535,62.439
0.063,1.486,1.276,-17.639,254.700,55.237
-0.005,1.412,1.182,-23.315,256.775,43.762
-0.077,1.288,1.100,-26.367,253.296,26.367
-0.147,1.122,1.032,-29.724,244.873,2.014
-0.197,0.919,0.937,-35.583,230.530,-26.855
-0.211,0.675,0.801,-46.082,209.656,-58.044
-0.194,0.358,0.627,-52.856,185.486,-92.346
-0.064,0.040,0.449,-48.706,166.382,-125.549
0.131,-0.299,0.288,-39.124,161.499,-146.240
0.380,-0.653,0.168,-26.917,170.654,-146.240
0.710,-0.967,0.043,-16.602,187.500,-122.925
0.911,-1.194,-0.215,-5.798,209.167,-88.928
0.980,-1.431,-0.278,15.076,237.793,-49.683
0.951,-1.581,-0.239,52.612,266.235,-10.071
0.899,-1.804,-0.099,81.970,266.052,16.296
0.826,-1.766,0.026,86.975,244.202,11.658
0.802,-1.797,0.105,77.148,204.041,-13.977
0.868,-1.775,0.105,48.828,155.579,-54.138
0.912,-1.771,0.079,5.371,112.244,-99.060
1.028,-1.776,-0.087,-40.955,79.163,-128.418
1.097,-1.691,-0.289,-76.416,58.289,-142.883
1.225,-1.538,-0.436,-90.393,53.528,-150.696
1.346,-1.391,-0.492,-82.153,60.303,-149.353
1.440,-1.221,-0.459,-65.430,69.580,-131.287
1.414,-1.023,-0.399,-50.110,77.698,-99.792
1.323,-0.835,-0.365,-40.588,88.379,-65.796
1.223,-0.736,-0.357,-37.964,103.271,-41.443
1.102,-0.631,-0.365,-38.635,116.333,-30.518
1.027,-0.611,-0.366,-38.635,121.887,-24.292
0.985,-0.590,-0.347,-38.086,116.577,-22.583
0.987,-0.566,-0.309,-36.926,95.947,-23.743
0.991,-0.532,-0.302,-35.034,62.988,-21.667
0.939,-0.495,-0.287,-28.198,25.574,-14.099
0.903,-0.442,-0.237,-14.404,-3.784,-4.089
0.855,-0.422,-0.123,2.563,-20.630,2.014
0.739,-0.425,-0.015,14.709,-26.489,3.662
0.781,-0.401,0.087,20.752,-20.569,5.249
0.794,-0.448,0.192,23.437,-8.484,7.202
0.747,-0.393,0.242,18.982,-2.808,3.235
0.764,-0.361,0.248,11.536,1.038,3.174
0.827,-0.380,0.214,4.517,8.118,7.080
0.871,-0.366,0.207,0.000,17.456,6.287
0.917,-0.348,0.177,-3.296,23.621,5.005
0.945,-0.313,0.147,-5.981,25.940,6.165
0.971,-0.306,0.102,-6.409,25.757,11.353
0.997,-0.303,0.085,-3.784,26.794,17.212
0.992,-0.297,0.052,-0.122,28.870,20.142
0.990,-0.285,0.038,1.770,30.334,21.790
0.985,-0.306,0.032,3.906,29.297,22.766
0.965,-0.309,0.041,6.775,26.184,21.301
0.948,-0.293,0.052,9.583,22.034,18.127
0.935,-0.276,0.068,11.475,19.653,15.259
0.932,-0.260,0.078,11.414,18.799,13.672
0.942,-0.246,0.094,9.338,19.348,12.756
0.969,-0.248,0.109,6.226,19.836,13.123
0.984,-0.265,0.108,1.953,17.883,15.564
0.985,-0.271,0.094,-1.587,14.038,16.846
0.988,-0.262,0.076,-3.723,10.620,15.869
0.998,-0.258,0.057,-5.066,8.301,14.404
1.006,-0.242,0.031,-6.592,5.554,13.733
1.001,-0.215,0.001,-7.507,3.235,13.428
0.986,-0.206,-0.024,-6.714,1.709,13.123
0.968,-0.207,-0.035,-3.540,1.343,12.451
0.962,-0.206,-0.035,1.343,1.953,11.108
0.954,-0.206,-0.022,5.371,3.052,8.911
0.954,-0.195,-0.009,7.202,3.540,6.470
0.943,-0.195,0.003,7.751,2.380,4.822
0.950,-0.210,0.017,8.118,0.488,4.089
0.959,-0.214,0.032,8.789,-1.587,2.930
0.977,-0.231,0.046,7.935,-4.395,1.892
0.990,-0.231,0.053,6.165,-7.568,1.282
1.001,-0.220,0.047,4.395,-10.681,1.465
1.000,-0.229,0.042,3.113,-12.451,2.014
0.996,-0.234,0.047,2.747,-11.902,1.404
0.993,-0.235,0.061,2.808,-11.414,0.061
0.991,-0.240,0.070,2.014,-12.024,-0.671
0.992,-0.246,0.060,-0.977,-13.855,-0.305
0.981,-0.253,0.053,-3.662,-14.587,-0.122
0.977,-0.250,0.047,-4.333,-13.550,-0.549
0.982,-0.237,0.030,-4.028,-12.512,-1.282
0.989,-0.241,0.030,-2.258,-10.925,-2.625
1.004,-0.252,0.039,1.648,-8.240,-3.235
1.015,-0.259,0.049,4.456,-3.662,-2.441
1.022,-0.259,0.070,5.981,3.357,0.000
1.024,-0.251,0.093,6.653,10.193,2.930
1.022,-0.246,0.107,5.676,14.221,5.432
1.022,-0.251,0.108,3.113,14.404,6.592
1.017,-0.256,0.101,0.427,11.353,6.409
1.007,-0.258,0.087,-1.526,7.446,6.226
0.989,-0.251,0.082,-2.136,4.272,6.042
0.964,-0.240,0.084,-2.502,2.869,6.042
0.953,-0.234,0.081,-3.601,2.136,5.676
0.942,-0.228,0.062,-5.432,0.854,4.700
0.939,-0.223,0.042,-6.348,0.183,3.113
0.947,-0.225,0.034,-6.287,1.221,2.014
0.958,-0.232,0.027,-6.104,0.854,1.465
0.962,-0.240,0.024,-5.981,-1.038,1.221
0.958,-0.243,0.029,-5.554,-3.662,1.099
0.955,-0.242,0.034,-4.272,-6.775,0.732
0.959,-0.240,0.035,-3.967,-9.216,0.183
0.969,-0.245,0.027,-5.066,-10.742,0.244
0.974,-0.254,0.015,-6.287,-10.864,0.854
0.991,-0.258,0.005,-6.287,-9.521,0.977
1.001,-0.263,0.001,-5.920,-8.240,1.099
1.011,-0.261,0.001,-4.883,-7.629,1.648
1.003,-0.266,0.000,-2.502,-6.348,3.174
1.002,-0.268,0.005,-0.244,-2.930,5.493
0.994,-0.262,0.010,1.709,2.014,8.362
0.971,-0.262,0.025,2.502,7.202,11.047

0.995,1.093,0.247,5.432,-99.609,-26.855
1.013,1.333,0.255,9.766,-131.531,-34.607
1.035,1.562,0.235,11.169,-177.124,-49.377
1.004,1.764,0.200,9.094,-231.445,-68.970
0.990,1.910,0.179,7.751,-286.011,-90.027
0.974,2.062,0.140,13.062,-339.111,-111.084
0.883,2.228,0.151,27.588,-386.353,-126.526
0.786,2.337,0.200,47.485,-429.016,-131.714
0.642,2.430,0.263,66.956,-466.431,-130.615
0.492,2.448,0.341,79.407,-494.324,-128.967
0.405,2.436,0.349,86.792,-512.512,-133.362
0.239,2.346,0.388,96.985,-517.517,-143.616
0.080,2.171,0.447,110.840,-506.226,-153.442
-0.066,1.871,0.530,124.817,-481.262,-158.081
-0.178,1.587,0.645,138.306,-449.707,-157.715
-0.266,1.323,0.734,145.874,-415.344,-151.794
-0.402,1.034,0.761,139.648,-382.996,-147.400
-0.526,0.717,0.736,116.943,-354.431,-149.231
-0.648,0.383,0.607,85.754,-333.801,-157.715
-0.750,-0.002,0.453,54.199,-326.843,-170.593
-0.711,-0.452,0.358,24.292,-337.891,-180.603
-0.728,-1.021,0.194,-1.099,-365.295,-174.683
-0.665,-1.635,0.132,-11.658,-396.606,-151.306
-0.567,-1.989,0.401,-1.099,-411.438,-106.384
-0.679,-2.089,0.409,18.494,-399.170,-34.363
-1.037,-2.315,0.386,26.550,-348.633,41.565
-1.239,-2.503,0.529,23.315,-256.775,94.421
-1.346,-2.591,0.661,31.006,-161.316,114.502
-1.390,-2.495,0.804,50.964,-99.915,99.365
-1.333,-2.139,0.831,61.523,-72.571,54.504
-1.073,-1.856,0.759,57.800,-71.106,9.460
-0.837,-1.717,0.789,50.537,-94.055,-21.240
-0.650,-1.528,0.773,47.119,-131.042,-43.213
-0.544,-1.320,0.596,46.204,-159.119,-56.274
-0.365,-1.098,0.598,43.030,-156.982,-58.960
-0.249,-0.979,0.479,38.818,-135.315,-51.514
-0.246,-0.893,0.467,29.724,-105.591,-39.795
-0.297,-0.837,0.508,20.081,-72.632,-24.048
-0.393,-0.857,0.519,14.526,-49.683,-10.437
-0.445,-0.851,0.532,6.714,-40.710,-2.808
-0.553,-0.792,0.525,0.549,-47.668,1.526
-0.665,-0.774,0.519,3.357,-62.866,2.563
-0.748,-0.646,0.540,13.855,-73.608,-1.953
-0.834,-0.494,0.565,23.437,-73.059,-8.118
-0.897,-0.466,0.598,26.306,-58.472,-11.963
-0.891,-0.444,0.636,25.940,-36.316,-16.357
-0.854,-0.376,0.620,23.865,-13.733,-20.386
-0.814,-0.277,0.567,18.433,6.104,-20.813
-0.764,-0.285,0.523,9.277,23.010,-14.404
-0.725,-0.254,0.565,2.563,35.583,-8.972
-0.705,-0.266,0.540,3.174,38.391,-3.296
-0.698,-0.278,0.535,2.014,34.668,0.183
-0.679,-0.266,0.548,0.244,28.748,-1.038
-0.684,-0.291,0.562,3.418,19.043,-1.892
-0.683,-0.289,0.594,8.240,10.925,-0.427
