aX,aY,aZ,gX,gY,gZ
3.427,-0.227,0.221,-54.993,171.387,-218.994
4.000,-0.390,1.168,-52.063,207.458,-233.276
4.000,-0.686,4.000,-68.237,213.135,-216.736
4.000,-3.868,2.370,-107.422,42.603,-186.401
4.000,-3.907,0.643,-238.708,-95.032,-274.719
2.263,-2.957,-0.918,-149.353,-136.841,-331.909
0.588,-1.107,-0.570,37.476,-115.601,-327.454
-0.835,-0.335,0.399,188.843,-111.633,-308.105
-1.868,-0.717,0.212,276.794,-154.846,-278.503
-2.619,-1.487,-0.565,216.248,-148.071,-246.460
-2.597,-2.488,-0.745,104.065,-79.651,-234.802
-2.075,-2.983,-0.507,15.991,0.366,-242.187
-1.348,-2.973,0.197,-50.903,66.589,-246.155
-0.516,-2.776,0.734,-80.566,73.792,-247.192
0.213,-2.228,0.587,-72.388,40.955,-247.253
0.916,-1.313,0.318,-74.768,24.719,-243.896
1.396,-0.424,0.221,-83.374,34.546,-226.868
1.646,0.118,0.156,-63.843,35.095,-191.040
1.235,0.442,0.291,-36.560,8.545,-154.175
0.537,0.452,0.569,-25.452,-37.842,-125.732
-0.192,0.197,0.408,-22.217,-88.196,-103.577
-0.656,-0.277,0.041,-32.410,-105.347,-82.275
-0.938,-0.779,-0.075,-51.270,-87.036,-73.792
-1.000,-1.181,-0.125,-41.992,-67.017,-81.909
-0.774,-1.284,-0.235,10.803,-51.025,-96.619
-0.481,-1.196,-0.239,77.942,-34.363,-108.398
-0.374,-1.116,-0.068,128.052,-20.142,-113.770
-0.496,-1.184,0.147,160.828,-13.184,-111.328
-0.693,-1.271,0.254,177.856,-17.029,-102.600
-0.856,-1.310,0.213,179.626,-31.860,-88.318
-1.016,-1.324,0.119,173.462,-49.744,-67.627
-1.117,-1.383,-0.066,165.955,-63.416,-42.358
-1.095,-1.499,-0.198,154.236,-59.753,-20.325
-0.977,-1.558,-0.269,138.245,-40.833,-10.193
-0.786,-1.533,-0.352,129.822,-14.648,-8.789
-0.399,-1.454,-0.275,132.202,18.677,-7.629
-0.077,-1.650,0.074,138.733,41.260,-5.981
-0.046,-1.478,0.122,130.798,24.597,-12.451
0.178,-1.649,0.205,107.361,0.427,-9.094
0.074,-1.307,0.095,68.481,-28.992,-16.052
-0.206,-0.958,-0.148,48.706,-47.546,-4.639
-0.332,-0.952,-0.010,59.875,-42.419,15.564
-0.503,-0.811,0.023,71.533,-41.504,20.325
-0.536,-0.797,-0.068,76.477,-33.569,22.949
-0.402,-0.802,-0.124,65.002,-18.799,18.738
-0.250,-0.738,-0.226,41.321,-11.780,10.193
-0.174,-0.688,-0.383,20.264,-6.653,7.202
-0.139,-0.698,-0.519,-0.183,2.808,12.695
-0.025,-0.885,-0.469,-17.273,14.465,21.545
0.044,-1.031,-0.415,-33.752,17.029,23.926
0.081,-1.173,-0.297,-41.321,17.517,26.245
0.109,-1.230,-0.099,-29.175,16.418,27.283
0.103,-1.145,-0.034,6.897,13.000,29.114
0.074,-1.028,-0.048,51.147,14.343,33.264
0.052,-0.915,-0.095,74.890,19.165,35.095
0.068,-0.898,-0.139,72.021,23.010,34.973
0.103,-0.924,-0.132,55.359,21.301,33.630
0.094,-0.940,-0.111,33.936,9.949,31.067
0.093,-0.971,-0.115,18.188,-7.385,31.677
0.084,-0.974,-0.289,8.789,-24.048,33.875
0.083,-0.948,-0.452,1.587,-29.114,35.095
0.071,-0.946,-0.397,2.563,-24.780,35.217
0.056,-0.895,-0.252,17.029,-22.583,35.156
0.127,-0.858,-0.228,42.542,-25.024,32.593
0.227,-0.794,-0.236,70.007,-27.039,25.208
0.225,-0.864,-0.260,87.402,-30.701,19.531
0.101,-0.986,-0.243,88.318,-32.227,21.912
-0.102,-1.151,-0.261,85.815,-32.166,22.156
-0.207,-1.250,-0.276,85.632,-19.470,21.240
-0.151,-1.424,-0.293,94.055,0.183,22.034
0.176,-1.897,-0.379,103.882,16.846,18.311
0.339,-1.849,-0.478,125.305,24.780,2.686
0.098,-1.003,-0.404,149.902,25.330,-20.691
-0.071,-0.771,-0.432,153.381,20.325,-25.879
0.006,-1.062,-0.760,141.174,9.827,-8.972
0.067,-1.318,-1.032,104.431,4.089,0.305
0.078,-1.330,-1.023,45.349,2.686,0.000
0.044,-1.133,-0.793,-15.381,0.488,0.854
-0.000,-0.929,-0.437,-55.786,-0.366,0.916
0.052,-0.857,-0.258,-63.171,-3.113,5.188
0.083,-0.839,-0.178,-49.377,-4.700,9.155
0.104,-0.824,-0.189,-22.156,-3.418,6.531
0.058,-0.800,-0.240,1.770,-0.732,1.709
0.038,-0.826,-0.283,18.127,0.305,0.061
0.052,-0.909,-0.346,28.992,-0.183,2.075
0.050,-0.967,-0.444,35.217,-1.282,3.723
0.049,-0.979,-0.519,33.447,-2.380,5.554
0.060,-1.019,-0.558,22.339,-3.052,7.019
0.082,-1.049,-0.537,8.179,-2.930,6.653
0.079,-0.989,-0.469,-2.258,-2.808,5.737
0.079,-0.922,-0.395,-6.287,-2.747,4.333
0.099,-0.914,-0.384,-5.005,-1.404,1.953
0.090,-0.920,-0.426,-0.305,0.793,-1.770
0.091,-0.955,-0.477,0.427,2.686,-5.493
0.096,-0.987,-0.516,-4.700,4.089,-9.277
0.045,-0.994,-0.542,-13.794,3.845,-11.658
0.019,-0.993,-0.542,-25.818,1.953,-9.583
0.016,-1.000,-0.517,-40.405,-1.343,-3.723
0.017,-0.978,-0.452,-54.016,-4.944,2.197
0.001,-0.943,-0.377,-61.401,-7.935,7.935
-0.005,-0.929,-0.375,-61.401,-11.108,14.465
-0.006,-0.951,-0.431,-60.974,-15.869,22.400
0.063,-0.882,-0.435,-63.599,-23.315,29.114
0.087,-0.823,-0.462,-57.678,-40.405,30.762
-0.133,-0.853,-0.679,-42.053,-57.007,28.748
-0.376,-0.903,-0.823,-20.203,-44.434,25.269
-0.273,-0.970,-0.589,-6.042,-9.705,23.987
-0.137,-0.903,-0.482,-0.488,13.794,20.020
-0.080,-0.965,-0.292,6.958,29.480,15.076
0.048,-0.983,-0.188,9.094,35.461,8.850
0.073,-0.932,-0.126,7.019,31.616,3.662
0.079,-0.904,-0.136,7.996,22.400,2.380
0.091,-0.909,-0.203,8.179,14.343,2.014
0.081,-0.901,-0.263,3.784,7.690,2.747
0.098,-0.929,-0.307,-6.531,0.916,5.127
0.039,-1.060,-0.337,-22.034,-5.554,8.179
-0.010,-1.073,-0.385,-36.987,-12.756,8.911
0.008,-1.109,-0.390,-41.687,-15.442,12.634
-0.083,-1.189,-0.323,-33.875,-12.573,17.822

-0.146,-3.740,-0.901,-2.075,-35.767,-0.488
0.198,-2.296,-0.106,22.522,25.757,-76.660
-0.113,-1.294,-0.408,112.793,30.518,-69.031
0.436,-0.910,-0.629,160.828,8.179,-28.015
0.394,-0.979,-0.659,107.788,-1.892,-15.320
0.304,-0.933,-0.500,43.335,-6.104,-26.672
0.211,-0.881,-0.392,2.563,-12.207,-29.358
0.187,-0.891,-0.339,-10.254,-16.663,-21.606
0.189,-0.862,-0.272,-11.230,-13.794,-13.611
0.176,-0.850,-0.304,-6.531,-12.878,-6.287
0.125,-0.809,-0.305,1.404,-8.362,-1.831
0.110,-0.797,-0.272,11.841,-5.432,1.953
0.023,-0.826,-0.351,22.522,-4.883,2.991
-0.038,-0.891,-0.415,30.762,-0.488,-0.244
-0.111,-0.925,-0.524,34.668,7.568,-4.211
-0.158,-0.987,-0.586,32.349,17.517,-9.338
-0.119,-1.026,-0.586,24.536,23.743,-15.198
-0.108,-1.052,-0.637,18.066,25.085,-18.372
-0.056,-1.011,-0.529,12.878,25.635,-19.287
0.038,-0.977,-0.432,8.179,19.958,-17.944
0.024,-0.932,-0.398,7.385,10.620,-17.090
0.007,-0.910,-0.414,8.545,4.333,-16.541
0.024,-0.868,-0.383,9.644,1.831,-15.808
-0.052,-0.837,-0.437,12.268,-2.380,-14.343
-0.094,-0.863,-0.486,19.470,-2.136,-11.719
-0.078,-0.861,-0.467,23.132,2.258,-8.423
-0.097,-0.850,-0.467,27.649,3.967,-5.859
-0.098,-0.863,-0.515,36.621,4.883,-3.723
-0.023,-0.866,-0.498,43.762,6.348,-2.563
-0.031,-0.886,-0.487,45.959,2.136,0.122
