aX,aY,aZ,gX,gY,gZ
0.763,0.642,0.109,5.066,-77.759,49.133
0.769,0.678,0.26,11.841,-63.721,50.232
0.83,0.705,0.391,11.292,-52.124,51.086
0.885,0.6,0.389,7.202,-42.786,49.5
0.878,0.33,0.358,8.911,-37.109,45.166
0.737,0.112,0.367,9.46,-36.133,34.851
0.53,0.026,0.345,6.592,-38.452,22.705
0.398,-0.001,0.216,7.935,-45.898,13.733
0.374,0.026,0.032,12.146,-56.152,6.531
0.477,0.118,-0.062,17.212,-56.58,-1.77
0.734,0.293,0.033,9.46,-36.987,-9.094
1.15,0.472,0.339,-13.794,-8.728,-12.573
1.515,0.532,0.627,-38.879,6.042,-6.226
1.416,0.515,0.693,-52.917,-1.587,2.502
0.935,0.504,0.544,-41.809,-17.334,7.08
0.531,0.481,0.351,-20.447,-25.635,10.925
0.326,0.548,0.198,-8.484,-25.635,12.756
0.317,0.461,0.193,-7.446,-18.005,13.184
0.458,0.339,0.312,-19.775,-2.075,12.634
0.491,0.518,0.368,-27.588,5.005,3.784
0.407,0.714,0.352,-17.944,4.517,-4.456
0.386,0.755,0.298,-5.493,7.751,-9.705
0.49,0.701,0.288,-1.77,15.625,-15.686
0.624,0.636,0.291,0.061,21.423,-21.79
0.689,0.547,0.243,9.949,22.095,-26.184
0.753,0.441,0.181,28.809,22.888,-29.968
0.902,0.434,0.199,42.603,31.738,-33.02
1.077,0.456,0.286,45.41,42.786,-29.968
1.216,0.268,0.425,47.668,49.011,-20.691
1.199,-0.082,0.541,43.457,55.542,-7.812
1.019,-0.218,0.479,26.367,61.096,2.075
0.939,-0.071,0.311,12.024,65.491,5.554
0.988,0.041,0.292,1.16,70.923,6.897
1.175,0.257,0.338,-6.287,72.876,3.784
1.445,0.505,0.289,-3.357,70.862,-0.671
1.61,0.622,0.223,-1.77,70.923,-2.075
1.665,0.551,0.272,-9.583,79.468,-5.981
1.67,0.339,0.387,-20.264,89.966,-15.076
1.572,0.132,0.48,-24.597,93.628,-27.832
1.378,0.001,0.482,-20.691,89.844,-38.94
1.238,-0.11,0.422,-13.123,82.642,-45.898
1.247,-0.214,0.336,-2.93,74.829,-50.903
1.34,-0.226,0.242,10.376,65.674,-59.692
1.389,-0.147,0.178,19.653,56.274,-69.763
1.384,-0.095,0.156,20.569,50.537,-73.425
1.336,-0.127,0.177,13.977,49.316,-70.374
1.255,-0.218,0.232,3.662,50.598,-64.209
1.18,-0.281,0.312,-7.996,50.964,-58.899
1.101,-0.268,0.355,-16.418,47.18,-55.237
1.012,-0.292,0.308,-18.677,41.26,-52.612
0.959,-0.355,0.25,-18.677,39.063,-57.129
0.938,-0.325,0.252,-19.104,35.522,-83.191
0.868,-0.17,0.232,-14.282,28.137,-91.309
0.849,-0.131,0.201,-8.545,19.958,-93.689
0.837,-0.122,0.158,-3.662,11.78,-92.346
0.814,-0.15,0.107,-1.709,4.15,-89.722
0.798,-0.164,0.067,-4.578,-0.061,-86.914
0.802,-0.171,0.052,-7.812,-1.282,-84.412
0.853,-0.166,0.064,-9.399,0.916,-81.482
0.936,-0.156,0.111,-8.972,4.272,-78.613
1.027,-0.13,0.181,-5.859,5.432,-75.867
1.108,-0.083,0.252,-1.038,2.441,-72.754
1.16,-0.051,0.298,6.042,-3.418,-68.604
1.205,-0.062,0.302,14.16,-10.315,-63.721
1.246,-0.104,0.267,19.531,-16.174,-59.937
1.272,-0.158,0.21,19.409,-19.165,-56.702
1.274,-0.21,0.153,16.602,-19.226,-54.199
1.268,-0.267,0.097,15.137,-16.907,-52.673
1.25,-0.314,0.053,7.263,-13.855,-47.119
1.14,-0.378,0.008,0.61,-15.564,-41.687
1.087,-0.401,0.007,-6.592,-17.395,-34.912
1.056,-0.435,0.018,-10.681,-17.944,-27.71
1.052,-0.486,0.024,-11.963,-16.907,-20.996
1.042,-0.502,0.083,-13.0,-13.916,-16.785
1.01,-0.52,0.162,-13.977,-10.193,-15.747
0.955,-0.454,0.206,-15.015,-6.042,-18.555
0.925,-0.357,0.25,-16.479,1.16,-20.447
0.928,-0.271,0.286,-19.226,8.362,-21.057
0.941,-0.214,0.294,-22.461,12.634,-20.935
0.953,-0.171,0.288,-24.902,13.489,-21.301
0.952,-0.137,0.262,-25.269,11.292,-21.973
0.934,-0.126,0.22,-24.658,7.324,-22.522
0.902,-0.126,0.173,-23.743,2.686,-23.621
0.859,-0.124,0.125,-22.644,-1.282,-25.33
0.812,-0.123,0.078,-21.79,-2.869,-26.917
0.772,-0.111,0.053,-21.179,-2.38,-27.466
0.755,-0.077,0.064,-20.081,-0.793,-26.367
0.765,-0.049,0.099,-16.235,0.549,-23.254
0.797,-0.051,0.117,-9.521,-0.183,-19.226
0.844,-0.075,0.115,-2.136,-0.916,-16.785
0.899,-0.095,0.119,3.784,-1.221,-16.052
0.943,-0.112,0.127,8.484,-2.075,-16.663
0.977,-0.117,0.141,13.0,-2.686,-17.334
0.997,-0.122,0.151,16.785,-3.784,-16.785
0.996,-0.128,0.148,19.409,-5.493,-15.137
0.973,-0.139,0.133,20.386,-6.348,-13.123
0.95,-0.151,0.118,20.02,-5.371,-10.559
0.932,-0.166,0.115,18.372,-2.991,-8.118
0.928,-0.185,0.125,15.625,0.244,-6.042
0.939,-0.201,0.145,13.245,3.723,-4.517
0.957,-0.206,0.163,10.986,5.859,-3.784
0.976,-0.198,0.17,9.705,6.592,-3.113
0.994,-0.187,0.166,8.667,6.836,-1.831
1.005,-0.176,0.155,7.568,6.775,-0.122
1.013,-0.167,0.143,6.104,7.324,2.197
1.022,-0.163,0.139,4.883,8.362,4.395
1.027,-0.157,0.144,4.028,9.644,6.226
1.026,-0.146,0.151,3.296,10.254,7.69
1.016,-0.132,0.151,2.441,10.437,9.277
1.005,-0.123,0.148,1.587,10.193,10.681
1.001,-0.122,0.146,1.099,10.254,12.024
1.002,-0.128,0.147,1.221,10.498,13.123
1.004,-0.138,0.151,2.014,10.315,13.672
1.005,-0.147,0.153,3.723,10.071,13.855
1.229,0.578,0.4,42.175,-71.045,108.398
1.148,0.48,0.428,27.283,-70.251,113.22
1.105,0.369,0.442,37.72,-67.566,116.699
1.103,0.313,0.43,51.697,-63.049,121.216
1.125,0.293,0.41,54.016,-57.556,125.488
1.12,0.288,0.36,50.598,-52.49,123.962
1.072,0.333,0.252,49.316,-50.476,115.173
1.041,0.406,0.211,49.866,-46.631,103.76
1.086,0.495,0.273,46.448,-37.659,93.384
1.133,0.577,0.315,41.382,-29.236,82.52
1.146,0.59,0.319,42.236,-23.926,71.96
1.145,0.527,0.327,48.279,-20.447,63.171
1.132,0.421,0.374,57.312,-17.517,55.664
1.125,0.289,0.467,62.866,-12.634,49.011
1.043,0.215,0.509,63.782,-9.644,42.358
0.906,0.145,0.479,61.89,-10.681,38.94
0.77,0.043,0.469,55.298,-12.573,38.269
0.65,-0.042,0.488,37.781,-11.902,37.354
0.581,-0.061,0.521,13.611,-8.301,34.668
0.601,-0.022,0.562,-7.446,-4.272,31.738
0.675,0.055,0.602,-25.757,-1.282,30.64
0.761,0.151,0.677,-45.227,2.075,31.311
0.824,0.292,0.73,-57.617,3.113,31.25
0.844,0.411,0.717,-58.655,-0.122,28.87
0.848,0.469,0.627,-56.702,-3.479,24.536
0.873,0.524,0.539,-58.167,-4.578,15.93
0.948,0.593,0.516,-58.655,-2.319,2.991
1.029,0.658,0.539,-56.641,2.502,-11.23
1.07,0.678,0.574,-55.786,7.019,-22.705
1.041,0.662,0.581,-57.19,7.69,-28.198
0.974,0.641,0.603,-57.373,6.836,-28.809
0.931,0.613,0.617,-54.26,7.202,-25.33
0.973,0.565,0.604,-45.959,7.751,-18.738
1.048,0.501,0.565,-33.569,6.104,-14.343
1.103,0.42,0.523,-25.94,5.066,-15.137
1.127,0.352,0.492,-27.71,6.653,-19.714
1.135,0.332,0.435,-35.4,8.423,-25.269
1.129,0.356,0.368,-44.189,10.315,-30.212
1.105,0.41,0.335,-56.091,14.343,-32.715
1.056,0.447,0.349,-70.435,20.203,-33.386
1.02,0.471,0.374,-83.13,25.146,-33.386
1.037,0.493,0.387,-88.379,24.658,-34.546
1.075,0.477,0.38,-86.975,19.409,-37.964
1.105,0.436,0.361,-87.708,15.076,-43.884
1.13,0.405,0.315,-95.764,13.733,-51.514
1.178,0.426,0.253,-109.741,11.108,-58.533
1.241,0.5,0.183,-122.864,2.991,-63.232
1.284,0.585,0.106,-127.136,-9.521,-64.88
1.253,0.624,0.039,-120.239,-20.569,-65.369
1.136,0.627,0.008,-117.004,-25.574,-64.514
0.954,0.557,0.01,-119.568,-24.963,-63.416
0.769,0.473,0.011,-124.573,-22.278,-61.218
0.624,0.393,0.002,-130.371,-15.442,-59.692
0.557,0.321,-0.043,-132.324,-7.446,-61.279
0.544,0.309,-0.1,-129.944,-0.61,-65.674
0.571,0.319,-0.152,-119.812,7.507,-73.181
0.643,0.325,-0.168,-107.361,19.226,-79.041
0.732,0.325,-0.129,-96.375,32.043,-80.261
0.871,0.28,-0.077,-80.566,41.138,-78.003
1.015,0.284,-0.017,-65.796,44.373,-73.792
1.114,0.344,0.047,-63.293,42.297,-71.106
1.169,0.445,0.106,-66.65,36.621,-68.665
1.199,0.538,0.161,-68.909,32.288,-64.148
1.223,0.639,0.225,-76.721,29.419,-58.044
1.255,0.728,0.268,-87.097,24.597,-52.185
1.278,0.809,0.3,-95.337,16.541,-46.875
1.273,0.865,0.326,-98.877,6.226,-42.48
1.232,0.906,0.334,-96.313,-5.493,-39.368
1.163,0.906,0.294,-86.67,-19.043,-36.316
1.072,0.855,0.21,-72.998,-31.921,-33.203
0.972,0.783,0.117,-60.242,-39.246,-32.043
0.892,0.693,0.048,-48.645,-39.124,-32.593
0.839,0.595,0.027,-38.574,-33.508,-33.875
0.819,0.518,0.057,-29.663,-24.902,-36.56
0.804,0.475,0.126,-21.912,-16.357,-40.405
0.779,0.438,0.198,-15.259,-11.414,-43.884
0.75,0.418,0.245,-8.362,-10.986,-47.058
0.716,0.412,0.272,-1.099,-14.221,-49.438
0.666,0.414,0.275,5.554,-19.714,-49.927
0.62,0.404,0.256,11.78,-26.611,-48.34
0.588,0.391,0.212,18.86,-33.386,-45.898
0.552,0.387,0.166,23.254,-38.391,-42.969
0.507,0.377,0.121,29.724,-41.443,-40.649
0.475,0.357,0.079,39.001,-41.626,-37.903
0.45,0.328,0.047,48.401,-39.429,-35.522
0.441,0.294,0.023,57.251,-35.889,-33.508
0.437,0.267,0.011,65.247,-31.555,-32.349
0.436,0.234,0.008,72.693,-26.367,-31.799
0.43,0.2,0.013,79.468,-21.24,-31.738
0.418,0.153,0.028,83.374,-16.785,-31.128
0.417,0.101,0.04,85.327,-13.245,-30.64
0.421,0.052,0.059,85.693,-9.949,-30.762
0.422,0.013,0.075,85.876,-8.179,-32.227
0.426,-0.021,0.093,85.205,-7.69,-33.63
0.415,-0.052,0.104,84.656,-8.728,-34.668
0.405,-0.083,0.109,84.961,-8.972,-35.461
0.395,-0.112,0.112,84.961,-8.057,-35.645
0.39,-0.135,0.114,84.229,-5.615,-35.339
0.399,-0.149,0.103,82.703,-1.953,-34.851
0.424,-0.188,0.073,79.773,3.418,-34.729
0.467,-0.199,0.068,77.698,11.658,-36.194
0.516,-0.211,0.051,74.402,19.653,-39.185
0.567,-0.242,0.042,62.622,19.348,-38.208
0.62,-0.268,0.038,53.955,20.935,-38.635
0.678,-0.297,0.038,47.668,24.292,-40.466
0.737,-0.322,0.045,40.588,26.184,-42.236
0.793,-0.349,0.062,32.166,26.672,-43.701
0.839,-0.369,0.089,24.17,26.55,-44.373
0.879,-0.381,0.125,17.578,26.978,-43.823
0.915,-0.385,0.163,11.78,27.588,-42.236
0.946,-0.381,0.198,6.104,28.87,-39.429
0.977,-0.383,0.225,1.282,30.518,-35.522
1.004,-0.387,0.247,-3.479,32.837,-31.189
1.03,-0.397,0.265,-8.24,35.339,-26.794
1.05,-0.41,0.279,-13.0,37.476,-23.01
1.058,-0.423,0.291,-17.761,39.063,-20.02
1.056,-0.435,0.303,-22.888,39.673,-18.066
1.038,-0.436,0.312,-28.015,38.147,-17.395
1.016,-0.428,0.313,-32.41,35.034,-17.7
1.087,-0.464,0.448,27.954,-26.672,54.871
0.986,-0.491,0.473,10.315,-18.372,59.326
0.894,-0.478,0.492,-7.385,-12.207,62.317
0.819,-0.447,0.505,-22.583,-9.399,64.392
0.773,-0.415,0.51,-33.325,-9.949,65.43
0.749,-0.385,0.501,-39.124,-13.489,65.918
0.736,-0.346,0.478,-42.358,-18.677,65.857
0.734,-0.301,0.451,-44.678,-24.78,65.186
0.746,-0.255,0.421,-46.021,-30.273,62.683
0.776,-0.205,0.393,-47.241,-34.851,58.411
0.815,-0.147,0.365,-47.668,-39.673,52.673
0.853,-0.097,0.333,-47.791,-45.227,46.57
0.88,-0.053,0.296,-47.974,-50.293,40.771
0.889,-0.01,0.26,-49.927,-54.321,36.377
0.884,0.039,0.234,-54.565,-57.068,33.508
0.87,0.09,0.222,-59.326,-56.946,32.471
0.856,0.133,0.227,-62.012,-53.223,32.837
0.844,0.164,0.233,-63.171,-47.241,35.095
0.824,0.171,0.234,-64.697,-40.1,39.063
0.796,0.159,0.241,-67.017,-31.494,44.189
0.772,0.134,0.26,-69.824,-22.156,49.683
0.753,0.116,0.291,-72.815,-13.306,55.725
0.741,0.102,0.329,-73.181,-6.042,60.181
0.742,0.085,0.373,-71.655,-1.465,63.293
0.75,0.065,0.423,-68.787,0.671,65.613
0.752,0.052,0.467,-64.148,-0.122,66.589
0.753,0.047,0.502,-59.387,-2.747,66.406
0.754,0.056,0.536,-54.382,-6.287,65.247
0.755,0.069,0.563,-49.133,-9.888,64.026
0.762,0.079,0.57,-43.701,-14.587,62.439
0.766,0.089,0.554,-38.818,-20.325,61.218
0.762,0.086,0.526,-34.424,-26.978,60.242
0.745,0.068,0.491,-31.189,-34.302,60.12
0.728,0.041,0.448,-29.114,-41.809,59.937
0.704,0.01,0.402,-29.724,-48.523,59.387
0.676,-0.017,0.368,-33.752,-52.734,57.8
0.644,-0.027,0.354,-40.344,-52.917,54.932
0.62,-0.011,0.366,-47.607,-49.011,50.964
0.617,0.051,0.393,-52.551,-42.053,46.753
0.638,0.152,0.417,-51.697,-35.156,43.823
0.674,0.233,0.431,-43.213,-31.372,43.945
0.7,0.295,0.424,-30.212,-31.982,45.715
0.723,0.34,0.397,-17.639,-34.79,47.241
0.768,0.359,0.368,-7.935,-36.804,48.584
0.841,0.354,0.352,-3.662,-37.415,50.354
0.92,0.336,0.342,-3.54,-37.659,50.964
0.978,0.312,0.338,-5.249,-37.903,50.537
0.992,0.273,0.334,-7.507,-38.696,49.744
0.946,0.22,0.342,-10.742,-39.429,48.645
0.847,0.151,0.365,-15.32,-39.307,47.913
0.74,0.079,0.401,-22.095,-36.743,47.241
0.651,0.019,0.439,-30.212,-33.02,45.959
0.588,-0.011,0.463,-39.551,-30.273,43.823
0.534,-0.005,0.459,-48.096,-30.884,40.1
0.48,0.033,0.419,-54.504,-34.302,35.583
0.42,0.096,0.356,-58.044,-39.673,31.982
0.362,0.157,0.281,-59.448,-44.128,29.968
0.321,0.221,0.208,-59.692,-47.729,29.541
0.286,0.288,0.144,-60.181,-49.133,29.663
0.267,0.359,0.086,-59.753,-48.706,29.48
0.278,0.44,0.045,-56.335,-46.753,29.175
0.323,0.503,0.028,-50.903,-42.114,28.992
0.404,0.551,0.036,-45.959,-33.691,28.137
0.494,0.623,0.076,-42.542,-22.888,26.184
0.563,0.704,0.162,-39.307,-12.634,23.926
0.616,0.774,0.28,-38.391,-5.31,23.437
0.655,0.824,0.389,-40.894,-1.77,26.794
0.677,0.82,0.461,-42.48,-2.747,33.691
0.668,0.772,0.472,-40.222,-8.545,42.053
0.627,0.709,0.415,-32.959,-17.395,48.401
0.58,0.673,0.333,-24.109,-24.475,51.453
0.545,0.67,0.278,-17.578,-26.062,52.368
0.529,0.691,0.277,-14.832,-23.254,51.697
0.543,0.728,0.313,-15.015,-18.86,51.331
0.57,0.761,0.349,-15.381,-16.296,52.124
0.599,0.784,0.357,-13.367,-17.578,53.955
0.629,0.797,0.326,-7.874,-21.362,55.542
0.666,0.797,0.269,2.136,-24.719,56.091
0.699,0.767,0.204,14.16,-26.123,54.443
0.718,0.724,0.168,22.339,-24.109,50.232
0.728,0.715,0.185,23.132,-18.433,44.006
0.731,0.753,0.246,19.592,-10.925,38.086
0.72,0.839,0.323,17.273,-5.371,33.569
0.696,0.925,0.393,18.372,-4.517,32.532
0.674,0.946,0.477,19.47,-6.104,35.95
0.687,0.871,0.593,15.076,-7.507,41.321
0.723,0.778,0.696,7.629,-9.766,45.837
0.729,0.742,0.69,1.587,-15.808,49.133
0.709,0.778,0.588,1.465,-22.644,52.429
0.695,0.87,0.485,5.066,-25.635,56.396
0.681,0.968,0.419,10.681,-24.414,61.523
0.674,1.043,0.396,17.456,-20.935,67.322
0.669,1.101,0.388,24.353,-18.127,71.594
0.656,1.116,0.359,31.006,-16.113,74.28
0.652,1.041,0.327,38.452,-13.428,74.036
0.648,0.94,0.338,42.908,-9.949,68.787
0.626,0.892,0.387,42.542,-8.057,58.777
0.598,0.896,0.454,41.565,-7.019,47.913
0.562,0.892,0.505,45.044,-7.751,39.49
0.525,0.83,0.518,51.27,-10.315,33.447
0.471,0.691,0.453,57.556,-13.794,28.442
0.418,0.551,0.399,63.416,-13.184,21.179
0.402,0.465,0.443,63.965,-9.338,11.658
0.424,0.46,0.518,56.885,-5.554,2.686
0.473,0.495,0.576,48.828,-5.249,-3.296
0.51,0.533,0.589,41.565,-10.315,-6.836
0.531,0.585,0.581,34.424,-16.113,-9.277
0.545,0.636,0.578,26.733,-18.616,-9.888
0.543,0.678,0.605,18.555,-18.616,-9.766
0.516,0.721,0.646,12.939,-18.738,-9.521
0.452,0.782,0.63,14.587,-18.921,-9.338
0.394,0.802,0.594,19.104,-15.442,-9.094
0.382,0.766,0.584,22.644,-8.728,-9.155
0.362,0.749,0.564,23.682,-2.258,-13.123
0.318,0.793,0.564,23.071,2.991,-21.179
0.278,0.881,0.549,23.254,7.751,-29.968
