aX,aY,aZ,gX,gY,gZ
0.000,0.696,-0.661,114.380,-15.015,16.052

-0.295,0.243,1.719,-60.364,-26.428,-16.663
-0.287,0.293,1.835,-76.538,-25.940,-19.104
-0.263,0.303,1.920,-93.872,-21.851,-23.254
-0.226,0.344,1.989,-113.037,-16.602,-28.076
-0.187,0.392,2.005,-134.705,-10.315,-30.762
-0.149,0.397,1.979,-157.349,-1.587,-31.311
-0.124,0.407,1.919,-178.040,7.629,-29.541
-0.092,0.451,1.828,-194.519,15.991,-25.330
-0.058,0.473,1.761,-207.092,21.912,-20.874
-0.024,0.460,1.701,-213.135,21.545,-17.639
0.004,0.470,1.639,-217.407,14.709,-14.221
0.019,0.458,1.567,-222.961,5.859,-8.118
0.027,0.451,1.480,-229.065,-0.671,-0.916
0.000,0.452,1.394,-235.840,-2.625,5.798
-0.042,0.444,1.357,-239.807,-1.831,9.644
-0.063,0.434,1.349,-235.657,0.183,8.972
-0.098,0.394,1.382,-231.506,4.578,4.089
-0.125,0.330,1.409,-231.995,14.160,0.000
-0.098,0.339,1.428,-237.244,29.297,-3.174
-0.044,0.329,1.414,-248.901,44.312,-4.456
0.026,0.325,1.347,-263.489,50.476,-3.296
0.077,0.335,1.249,-279.358,46.448,0.916
0.107,0.304,1.118,-291.565,33.630,8.545
0.130,0.296,0.997,-299.011,16.968,18.555
0.129,0.312,0.857,-306.335,-1.282,30.273
0.097,0.304,0.711,-310.486,-20.569,42.297
0.047,0.271,0.546,-308.533,-36.072,49.744
-0.034,0.242,0.404,-305.542,-42.725,52.246
-0.086,0.231,0.305,-301.697,-40.588,51.575
-0.082,0.195,0.217,-295.715,-30.151,44.922
-0.091,0.180,0.158,-292.969,-16.235,36.804
-0.054,0.179,0.103,-291.931,-4.456,31.433
-0.019,0.193,0.074,-289.673,3.357,26.733
-0.011,0.224,0.042,-284.912,3.418,24.475
-0.001,0.214,-0.007,-276.978,-1.770,25.391
-0.032,0.200,-0.045,-269.897,-8.850,28.015
-0.122,0.213,-0.084,-263.428,-18.860,30.151
-0.144,0.186,-0.151,-256.653,-24.780,29.297
-0.161,0.142,-0.219,-255.737,-22.461,28.259
-0.174,0.125,-0.281,-260.132,-18.616,29.297
-0.180,0.097,-0.359,-264.465,-14.832,29.907
-0.192,0.076,-0.446,-267.395,-11.658,29.114
-0.192,0.089,-0.530,-267.883,-10.498,25.757
-0.176,0.108,-0.595,-263.916,-10.437,21.240
-0.164,0.123,-0.652,-255.432,-10.681,18.005
-0.138,0.112,-0.711,-244.934,-13.733,16.968
-0.190,0.120,-0.739,-232.788,-21.118,17.395
-0.249,0.108,-0.774,-217.224,-30.457,17.578
-0.239,0.047,-0.812,-201.965,-32.898,13.184
-0.275,0.019,-0.839,-195.862,-28.564,7.202
-0.301,0.050,-0.874,-195.312,-22.217,1.892
-0.278,0.078,-0.898,-193.359,-12.634,-6.226
-0.229,0.073,-0.934,-190.063,-3.662,-14.160
-0.201,0.085,-0.955,-185.913,0.122,-17.151
-0.172,0.091,-0.981,-181.335,-0.977,-15.930
-0.202,0.077,-0.997,-175.964,-4.517,-13.184
-0.256,0.072,-1.026,-170.044,-9.949,-9.888
-0.262,0.039,-1.042,-162.292,-13.123,-10.742
-0.282,-0.043,-1.087,-155.640,-11.780,-13.550
-0.302,-0.101,-1.147,-153.748,-7.141,-16.724
-0.299,-0.109,-1.203,-154.480,0.793,-22.095
-0.281,-0.094,-1.252,-154.175,9.766,-28.687
-0.223,-0.076,-1.290,-149.536,15.625,-33.875
-0.148,-0.067,-1.318,-141.357,16.357,-36.377
-0.108,-0.057,-1.351,-130.920,12.024,-35.400
-0.117,-0.060,-1.379,-118.347,5.371,-31.860
-0.122,-0.099,-1.406,-104.614,1.587,-28.687
-0.114,-0.141,-1.419,-92.285,0.854,-27.954
-0.077,-0.134,-1.414,-82.031,0.549,-27.954
-0.013,-0.111,-1.422,-72.327,-3.296,-25.269
-0.001,-0.092,-1.445,-62.988,-10.437,-18.738
0.012,-0.116,-1.450,-53.589,-16.113,-9.644
0.026,-0.134,-1.424,-45.288,-17.273,-1.160
0.027,-0.096,-1.392,-37.842,-19.226,6.836
-0.010,-0.029,-1.364,-29.663,-24.414,14.160
-0.079,0.008,-1.325,-19.653,-28.809,19.043
-0.137,0.030,-1.259,-9.949,-27.222,19.897
-0.173,0.075,-1.169,-3.540,-21.973,16.724
-0.191,0.122,-1.094,0.366,-15.564,10.498
-0.172,0.156,-1.036,2.258,-9.216,3.113
-0.126,0.167,-0.998,2.075,-3.662,-2.380
-0.077,0.169,-0.981,0.122,-0.793,-5.920
-0.074,0.219,-0.981,-3.052,-0.610,-7.385
-0.100,0.286,-0.939,-4.089,-1.526,-6.897
-0.095,0.278,-0.903,-2.258,-2.197,-7.446
-0.074,0.219,-0.895,-2.380,-2.075,-7.263
-0.034,0.200,-0.917,-8.118,-1.221,-5.432
-0.024,0.220,-0.952,-15.564,-0.427,-2.502
-0.011,0.234,-0.989,-19.287,-0.610,1.770
-0.012,0.235,-1.008,-18.250,-1.831,5.615
-0.047,0.243,-0.956,-14.648,-4.333,8.850
-0.061,0.137,-1.003,-10.620,-9.705,10.681
-0.145,0.149,-1.043,-11.719,-10.010,6.958
-0.168,0.160,-1.051,-13.245,-0.122,5.005
-0.138,0.144,-1.038,-11.414,8.057,4.028
-0.158,0.146,-1.015,-7.385,6.470,0.305
-0.165,0.164,-1.001,-3.906,2.258,-3.357
-0.158,0.191,-0.995,-1.160,0.610,-6.226
-0.135,0.193,-0.988,0.061,2.136,-7.141
-0.113,0.172,-0.950,-0.427,5.249,-7.080
-0.079,0.158,-0.926,-1.953,4.517,-6.958
-0.058,0.177,-0.945,-5.676,1.770,-6.165
-0.018,0.204,-0.946,-8.850,0.549,-1.953
0.009,0.189,-0.999,-7.996,-3.418,6.287
-0.010,0.163,-1.034,-6.165,-7.935,13.062
-0.050,0.162,-1.038,-4.272,-9.766,16.541
-0.086,0.156,-1.017,-1.160,-10.742,18.005
-0.131,0.138,-1.020,2.075,-11.414,15.991
-0.179,0.139,-1.008,3.784,-9.399,11.230
-0.198,0.148,-0.998,4.761,-4.761,4.944
-0.196,0.147,-0.980,4.639,2.075,-2.197
-0.175,0.141,-0.972,3.906,9.033,-8.423
-0.147,0.141,-0.983,3.052,12.817,-13.245
-0.125,0.151,-0.992,2.014,14.099,-15.930
-0.107,0.166,-0.998,3.052,13.245,-16.479
-0.090,0.168,-1.009,5.188,11.353,-14.587
-0.072,0.177,-0.999,7.751,8.728,-11.658
-0.064,0.179,-1.006,10.803,4.028,-7.812
-0.078,0.188,-0.981,13.611,-0.793,-4.211

-0.440,0.267,1.795,-32.837,-10.925,-17.151
-0.405,0.166,1.901,-48.462,4.333,-26.245
-0.312,0.082,2.009,-80.444,26.062,-32.288
-0.215,0.090,2.038,-123.474,49.988,-38.696
-0.129,0.228,2.018,-166.931,70.496,-41.931
-0.052,0.380,1.979,-197.998,83.313,-41.565
-0.004,0.495,1.903,-212.280,87.341,-38.696
0.039,0.534,1.888,-215.149,86.243,-34.058
0.080,0.506,1.901,-211.609,81.116,-27.710
0.121,0.451,1.908,-211.914,72.571,-19.714
0.114,0.401,1.926,-220.642,60.791,-9.949
0.110,0.354,1.916,-231.934,47.974,-0.549
0.092,0.340,1.828,-247.131,37.170,6.897
0.037,0.350,1.733,-266.418,30.701,13.733
0.002,0.345,1.636,-280.701,26.367,21.179
-0.009,0.322,1.516,-288.818,24.353,25.635
-0.031,0.297,1.386,-296.631,23.743,27.954
-0.035,0.318,1.265,-301.514,21.118,28.503
-0.020,0.365,1.130,-301.636,16.052,25.757
-0.058,0.404,1.018,-299.438,12.146,23.193
-0.080,0.424,0.953,-293.884,11.658,22.034
-0.064,0.416,0.901,-288.696,13.123,19.775
-0.049,0.392,0.849,-287.781,13.000,18.799
