aX,aY,aZ,gX,gY,gZ
1.155,4.000,0.161,-123.291,124.512,-39.185
1.638,4.000,2.659,-83.008,175.354,40.588
4.000,4.000,3.537,101.807,95.337,272.888
3.828,2.455,-1.241,528.992,-142.395,641.663
2.748,-2.946,-3.902,654.236,-300.476,618.225
2.267,-4.000,-1.246,599.304,-227.112,357.605
2.594,-3.221,-1.200,626.099,-174.011,260.620
2.219,-2.058,-1.558,579.956,-193.909,266.846
2.577,-1.844,-0.156,359.558,-178.040,324.219
2.077,-0.864,0.349,182.251,-202.393,368.408
1.244,0.438,0.031,123.779,-234.619,419.250
1.628,0.420,1.299,113.953,-204.712,447.449
1.322,0.447,1.510,112.610,-214.600,427.063
1.063,0.396,1.495,113.586,-243.652,398.254
0.600,-0.063,1.337,112.671,-267.517,377.075
-0.155,-0.260,1.324,87.219,-289.978,334.961
-0.958,-0.034,0.912,82.153,-315.125,275.940
-1.361,-0.083,0.599,117.249,-332.520,217.773
-1.379,-0.508,0.535,136.841,-327.942,179.077
-1.422,-0.744,0.484,113.403,-314.941,157.288
-1.485,-0.879,0.525,56.335,-295.288,141.296
-1.662,-0.171,0.695,-26.978,-271.606,132.202
-1.597,0.940,0.859,-94.238,-241.272,135.803
-1.531,1.808,0.899,-117.188,-203.247,142.151
-1.498,2.229,0.911,-103.638,-164.734,143.127
-1.413,2.351,0.800,-64.697,-132.812,131.165
-1.352,2.055,0.762,-15.137,-109.314,107.849
-1.304,1.464,0.790,30.273,-90.576,85.510
-1.183,0.623,0.845,55.176,-73.792,73.364
-1.185,-0.101,0.841,55.786,-65.002,68.787
-1.503,-0.413,0.620,36.926,-68.542,69.397
-1.618,-0.265,0.467,-1.770,-64.819,60.730
-1.575,0.142,0.334,-45.532,-53.345,45.532
-1.505,0.515,0.217,-70.251,-36.621,37.109
-1.304,0.869,0.257,-77.881,-17.639,33.081
-1.086,1.002,0.261,-79.407,-2.014,28.381
-0.866,0.901,0.248,-73.914,16.724,19.348
-0.593,0.792,0.331,-63.599,33.020,11.230
-0.414,0.727,0.319,-54.443,38.818,7.751
-0.379,0.679,0.277,-46.204,33.325,6.775
-0.405,0.674,0.329,-38.513,24.475,8.057
-0.453,0.837,0.289,-34.546,18.250,10.620
-0.432,0.905,0.279,-30.212,19.104,19.409
-0.427,0.690,0.250,-24.597,25.635,27.100
-0.293,0.461,0.329,-21.301,35.522,20.630
-0.327,0.248,0.244,-20.630,39.368,7.141
-0.357,0.015,0.245,-22.766,44.006,-4.395
-0.356,-0.211,0.295,-29.602,49.133,-14.404
-0.442,-0.401,0.344,-39.063,46.875,-28.503
-0.637,-0.462,0.294,-49.011,41.504,-48.706
-0.706,-0.304,0.317,-52.612,37.476,-73.792
-0.716,-0.110,0.328,-42.908,28.442,-96.619
-0.687,0.235,0.235,-32.104,21.057,-116.211
-0.580,0.507,0.196,-36.194,30.273,-122.559
-0.457,0.640,0.347,-57.434,52.856,-116.638
-0.371,0.607,0.531,-87.769,73.059,-105.286
-0.334,0.491,0.699,-118.530,83.984,-95.154
-0.418,0.434,0.817,-141.174,81.726,-89.661
-0.558,0.296,0.740,-152.832,67.932,-88.318
-0.602,0.419,0.665,-156.616,50.964,-94.971
-0.535,0.630,0.654,-148.560,25.085,-97.107
-0.575,0.775,0.551,-125.671,-8.850,-97.656
-0.617,0.867,0.411,-107.239,-24.658,-103.760
-0.512,1.108,0.397,-105.042,-13.489,-115.295
-0.348,1.359,0.451,-111.694,4.578,-119.141
-0.126,1.410,0.517,-115.479,19.592,-116.211
0.072,1.366,0.575,-113.159,26.917,-116.272
0.229,1.264,0.608,-102.417,25.696,-118.042
0.279,1.236,0.592,-84.717,13.977,-118.408
0.202,1.239,0.491,-60.608,-4.456,-111.328
0.062,1.265,0.347,-36.865,-20.752,-103.943
-0.152,1.386,0.302,-27.893,-24.719,-97.595
-0.408,1.520,0.424,-34.729,-16.479,-82.947
-0.411,1.490,0.628,-46.875,-7.629,-56.519
-0.294,1.236,0.691,-54.626,-13.794,-29.419
-0.194,0.926,0.613,-46.997,-25.696,-20.325
-0.107,0.812,0.429,-39.734,-38.391,-26.794
-0.074,0.851,0.165,-31.494,-44.983,-37.292
-0.008,1.003,-0.003,-14.526,-37.781,-47.546
0.062,1.137,0.005,0.366,-21.484,-52.429
0.042,1.146,0.143,-4.517,-4.944,-51.514
0.032,1.049,0.337,-21.790,5.310,-46.631
-0.016,0.972,0.401,-28.870,-2.319,-41.016
-0.099,0.889,0.303,-16.113,-19.958,-37.415
-0.157,0.843,0.193,-3.906,-33.508,-35.645
-0.230,0.843,0.119,-0.671,-38.818,-39.246
-0.322,0.835,0.047,0.427,-35.767,-47.668
-0.383,0.869,-0.005,-3.479,-24.780,-57.312
-0.357,0.916,-0.019,-9.399,-5.859,-65.247
-0.234,0.922,0.053,-13.367,18.921,-69.702
-0.037,0.928,0.235,-17.944,42.236,-72.144
0.147,0.987,0.416,-25.208,52.551,-74.890
0.258,1.053,0.491,-29.175,44.006,-76.111
0.286,1.113,0.443,-22.949,23.437,-76.355
0.260,1.192,0.314,-7.446,1.160,-76.965
0.184,1.245,0.193,8.423,-15.503,-77.026
0.097,1.251,0.092,19.348,-24.475,-78.003
0.016,1.229,0.021,25.269,-23.926,-81.604
-0.052,1.211,-0.004,26.733,-14.893,-85.754
-0.056,1.164,0.016,27.588,-2.686,-86.975
-0.007,1.043,0.097,29.724,10.010,-86.670
0.093,0.866,0.228,25.330,21.423,-88.196
0.168,0.756,0.390,13.000,26.733,-93.018
0.209,0.704,0.454,7.996,21.179,-96.741
0.216,0.741,0.344,14.771,7.996,-99.548
0.201,0.830,0.150,21.973,-1.404,-106.201
0.177,0.952,-0.009,22.888,-2.747,-117.615
0.127,1.140,-0.058,16.296,3.174,-133.606
0.063,1.286,0.017,4.028,11.047,-149.048
0.053,1.296,0.133,-11.719,13.306,-153.687
0.060,1.226,0.265,-27.710,9.460,-143.311
0.140,1.128,0.353,-29.663,4.456,-123.657
0.220,1.064,0.403,-13.367,6.165,-107.239
0.267,1.016,0.399,12.756,15.381,-97.473
0.305,0.976,0.387,37.354,26.489,-92.468
0.343,0.948,0.397,51.086,32.349,-87.463
0.380,0.905,0.424,53.345,28.870,-79.224
0.450,0.843,0.462,44.617,18.555,-65.552
0.513,0.740,0.522,32.532,5.737,-50.537

0.451,0.860,0.657,2.625,-62.561,45.898
0.436,0.806,0.542,4.578,-59.265,48.889
0.408,0.762,0.449,-2.686,-55.542,53.345
0.377,0.740,0.402,-14.648,-52.185,60.669
0.365,0.730,0.395,-23.376,-46.082,69.336
0.364,0.757,0.405,-30.640,-38.818,79.407
0.352,0.818,0.413,-38.147,-33.691,88.440
0.327,0.886,0.395,-47.974,-31.616,95.947
0.288,0.935,0.363,-63.171,-32.593,99.792
0.268,0.954,0.302,-78.308,-34.180,98.267
0.271,0.979,0.250,-89.172,-34.607,91.309
0.278,1.018,0.193,-91.064,-31.860,80.872
0.267,1.068,0.120,-93.994,-33.264,72.266
0.311,1.043,0.022,-95.215,-39.978,66.284
0.284,1.078,0.029,-89.172,-36.133,48.828
0.261,1.133,0.068,-71.716,-30.518,34.607
0.177,1.149,0.068,-43.762,-27.771,30.701
0.114,1.177,0.131,-22.400,-23.743,29.846
0.008,1.160,0.178,-10.315,-20.203,30.457
-0.032,1.083,0.197,-3.906,-18.433,34.180
-0.022,1.009,0.188,-2.563,-14.099,33.569
-0.018,0.943,0.180,-4.517,-9.705,30.090
-0.020,0.887,0.190,-7.080,-6.592,24.353
-0.028,0.863,0.200,-10.132,-5.676,19.043
-0.016,0.852,0.196,-11.414,-5.310,16.602
0.006,0.845,0.185,-12.817,-6.042,16.174
0.012,0.853,0.169,-13.916,-6.470,15.564
0.040,0.849,0.153,-14.282,-5.188,13.977
0.014,0.892,0.158,-13.672,-0.977,9.521
0.020,0.935,0.171,-13.611,2.502,7.629
0.046,0.962,0.180,-12.634,8.118,3.723
0.069,0.981,0.194,-13.184,12.451,-0.854
0.090,0.986,0.196,-13.306,14.221,-4.639
0.105,0.969,0.190,-11.902,13.672,-8.362
0.106,0.931,0.182,-8.667,12.085,-12.024
0.099,0.881,0.178,-5.249,10.376,-15.381
0.094,0.834,0.173,-2.197,9.155,-19.592
0.089,0.804,0.171,-0.549,9.399,-24.231
0.098,0.791,0.174,-1.953,12.024,-28.442
0.125,0.799,0.178,-5.615,15.747,-32.288
0.169,0.829,0.197,-10.376,18.860,-35.645
0.216,0.876,0.226,-15.015,19.653,-36.987
0.247,0.922,0.242,-18.738,17.273,-36.255
0.262,0.969,0.247,-21.118,11.963,-33.997
0.242,1.030,0.228,-23.010,6.531,-31.006
0.321,1.042,0.272,-24.658,1.526,-25.818
0.196,0.996,0.163,-24.231,-7.019,-22.461
0.195,0.985,0.138,-25.818,-8.118,-21.484
0.180,0.955,0.111,-28.320,-5.249,-21.606
0.176,0.934,0.099,-29.724,-1.587,-22.278
0.206,0.925,0.110,-30.640,2.625,-23.132
0.229,0.917,0.120,-29.358,4.272,-23.560
0.242,0.918,0.128,-25.940,2.869,-23.193
0.246,0.925,0.122,-21.667,-0.061,-22.522
0.243,0.935,0.115,-17.517,-2.686,-22.095
0.247,0.952,0.106,-14.404,-4.333,-21.729
0.246,0.968,0.098,-12.268,-4.944,-20.935
0.247,0.976,0.098,-11.292,-3.906,-19.775
0.254,0.981,0.099,-11.719,-2.380,-18.005
0.276,0.973,0.110,-12.939,-0.122,-15.625
0.291,0.952,0.121,-12.817,0.488,-12.939
0.290,0.930,0.118,-11.719,-0.977,-10.071
0.279,0.917,0.107,-10.376,-2.808,-7.507
0.268,0.909,0.101,-9.399,-3.723,-5.066
0.258,0.894,0.101,-9.460,-3.357,-3.357
0.256,0.893,0.092,-9.888,-2.502,-2.502
0.272,0.905,0.105,-9.949,-1.221,-1.160
0.293,0.924,0.128,-10.742,-0.732,1.221
0.299,0.942,0.140,-10.620,-2.747,4.211
0.273,0.947,0.122,-10.620,-5.981,7.141
0.238,0.939,0.099,-12.207,-7.751,9.033
0.228,0.940,0.091,-14.587,-6.897,9.094
0.238,0.954,0.091,-16.663,-5.493,8.240
0.253,0.972,0.091,-18.188,-4.639,7.935
0.262,0.982,0.093,-18.433,-4.883,8.484
0.269,0.985,0.097,-18.311,-5.920,9.766
0.264,0.963,0.099,-18.250,-7.263,11.719
0.250,0.941,0.089,-18.921,-8.179,13.489
0.238,0.923,0.079,-20.752,-8.606,14.893
0.232,0.918,0.068,-23.132,-7.812,16.174
0.231,0.907,0.066,-24.719,-6.836,17.029
0.221,0.908,0.046,-24.780,-6.775,17.029
0.208,0.916,0.020,-23.621,-7.141,16.357
0.196,0.926,0.000,-20.813,-6.470,15.015
0.191,0.949,-0.009,-17.029,-4.883,13.672
0.190,0.978,-0.006,-12.329,-2.686,12.085
0.186,1.014,-0.000,-7.263,-0.488,10.681
0.186,1.036,0.010,-3.174,1.892,9.277
0.190,1.032,0.023,0.122,3.723,7.629
0.190,1.005,0.028,3.418,4.150,5.615
0.175,0.973,0.022,6.470,3.906,2.991
0.215,0.946,0.053,8.789,4.395,0.305
0.195,0.904,0.053,11.658,2.502,-1.648
0.196,0.879,0.069,12.939,0.610,-3.235
0.205,0.857,0.092,11.169,0.854,-4.395
0.204,0.844,0.098,7.935,-0.061,-6.042
0.216,0.850,0.100,3.418,-0.427,-7.080
0.222,0.861,0.094,-1.221,-0.793,-7.874
0.222,0.881,0.078,-5.188,-1.526,-8.179
0.221,0.914,0.053,-7.996,-1.526,-7.812
0.224,0.952,0.035,-9.216,-0.916,-7.385
0.227,0.986,0.027,-8.789,0.366,-6.531
0.229,1.008,0.027,-7.568,1.770,-5.432
0.228,1.007,0.031,-5.432,2.747,-4.150
0.225,0.994,0.035,-2.991,2.930,-3.540
0.222,0.978,0.040,-0.549,2.686,-3.601
0.221,0.959,0.045,1.526,2.136,-3.967
0.213,0.929,0.054,2.808,1.831,-5.188
0.211,0.905,0.070,2.930,1.404,-7.141
0.208,0.885,0.080,1.404,1.038,-9.460
0.207,0.870,0.083,-1.587,0.671,-12.146
0.210,0.863,0.082,-5.859,0.671,-15.259
0.220,0.869,0.078,-10.132,0.854,-18.250
0.264,0.880,0.093,-13.855,0.732,-19.775
0.270,0.886,0.086,-17.273,-1.038,-20.081
0.265,0.918,0.061,-20.447,-3.601,-19.226
0.261,0.908,0.057,-23.560,-3.601,-16.846
0.272,0.893,0.056,-27.222,-2.930,-15.808
0.279,0.891,0.041,-29.968,-3.540,-14.832

