aX,aY,aZ,gX,gY,gZ
0.924,3.491,-1.913,8.850,-76.904,-43.823
1.441,4.000,-2.651,50.537,0.488,-14.465
3.719,4.000,-1.427,-28.137,217.041,54.138
4.000,4.000,4.000,-52.979,402.100,198.914
4.000,3.583,3.403,308.105,42.114,496.094
3.224,-4.000,-4.000,617.615,-406.128,712.708
1.877,-3.976,-1.714,390.503,-277.710,401.611
1.026,-3.982,-0.914,560.669,-240.051,245.422
-0.174,-2.966,-1.487,661.499,-328.613,213.928
-0.370,-0.725,-3.219,562.256,-348.083,194.275
-0.385,-0.120,-2.666,466.980,-232.727,266.235
0.508,0.567,-1.058,296.265,-90.698,346.985
2.705,1.800,1.546,166.992,-14.893,392.090
3.698,2.059,1.523,182.922,-60.547,451.782
2.015,0.534,-0.241,257.690,-188.171,483.582
0.918,0.687,0.133,285.400,-198.914,446.838
1.234,-0.086,-0.773,325.623,-193.970,449.890
1.877,-1.086,-0.469,310.425,-186.035,440.369
2.249,-2.011,1.018,269.104,-206.726,426.941
1.161,-1.399,1.644,180.969,-261.841,399.658
0.405,-0.915,2.123,82.153,-285.583,368.774
-0.102,-0.212,1.959,29.846,-298.523,310.120
-0.657,0.643,1.426,36.743,-323.914,236.572
-0.797,1.209,1.270,68.115,-326.782,179.993
-0.715,0.960,1.191,108.887,-307.556,145.325
-0.724,0.204,1.021,148.193,-286.011,124.023
-0.945,-0.513,0.745,153.564,-268.921,116.943
-1.338,-0.539,0.588,110.291,-251.038,113.770
-1.289,0.142,0.914,41.199,-216.248,106.812
-1.141,0.516,1.089,-20.142,-174.255,98.694
-1.180,0.656,1.054,-41.809,-136.658,83.496
-1.212,0.662,1.133,-28.748,-109.375,67.810
-1.121,0.281,1.120,-22.034,-90.088,52.856
-1.122,-0.159,1.044,-26.001,-73.792,34.729
-1.098,-0.175,0.934,-32.532,-65.186,23.132
-1.107,0.018,0.924,-39.490,-59.387,19.958
-1.214,0.419,0.837,-52.002,-56.274,23.193
-1.235,0.781,0.768,-68.420,-52.002,34.180
-1.231,1.111,0.689,-73.792,-37.476,39.856
-1.098,1.333,0.623,-63.843,-21.484,41.138
-0.946,1.285,0.572,-54.688,-1.526,41.504
-0.745,0.987,0.531,-51.819,19.653,39.246
-0.617,0.492,0.461,-43.030,34.973,36.072
-0.501,0.107,0.458,-29.846,43.884,30.579
-0.458,-0.184,0.402,-23.865,46.814,24.719
-0.370,-0.401,0.414,-27.039,47.852,16.113
