aX,aY,aZ,gX,gY,gZ
-0.503,-1.138,-0.936,3.418,-17.578,-112.122
-0.176,-1.111,-0.522,17.212,42.114,-121.338
0.063,-0.962,-0.115,25.635,71.411,-128.479
0.163,-0.801,0.158,33.569,72.266,-142.151
0.269,-0.696,0.245,26.306,60.852,-163.879
0.511,-0.508,0.167,-10.925,51.453,-189.148
0.692,-0.165,-0.007,-49.072,50.964,-213.196
1.178,0.056,-0.046,-58.289,75.500,-225.647
2.256,-0.274,0.022,-49.255,125.549,-229.614
3.753,-0.332,0.357,-43.335,175.232,-243.530
4.000,-0.336,0.645,-9.644,186.646,-233.398
4.000,-0.422,1.009,23.926,156.128,-194.702
4.000,-1.899,0.636,-62.073,105.164,-164.490
3.975,-2.815,0.984,-185.852,74.463,-207.275
2.581,-2.937,0.460,-109.436,36.682,-271.179
1.029,-2.722,0.412,100.220,0.000,-292.725
-0.398,-2.205,0.160,216.675,-55.237,-308.411
-1.675,-1.884,-0.067,256.226,-98.633,-307.495
-2.526,-1.991,-0.264,251.953,-100.830,-279.785
-2.595,-2.577,-0.558,207.581,-68.604,-244.934
-2.080,-3.123,-0.552,116.638,-7.690,-235.901
-1.555,-2.846,-0.358,18.311,33.508,-249.756
-0.874,-2.371,-0.229,-54.260,49.133,-261.230
-0.062,-1.908,-0.451,-105.591,49.072,-257.690
0.729,-1.363,-0.400,-118.408,62.988,-241.089
1.222,-0.766,-0.284,-95.520,86.304,-216.248
1.719,-0.351,-0.034,-51.514,104.919,-187.134
1.849,0.088,0.194,-18.860,91.003,-165.039
1.465,0.420,0.384,-19.531,50.903,-144.836
0.597,0.391,0.508,-37.231,-4.211,-119.995
-0.140,-0.197,0.402,-52.063,-66.833,-96.741
-0.707,-1.082,-0.180,-66.101,-101.196,-86.731
-0.959,-1.550,-0.499,-93.201,-78.491,-96.069
-0.886,-1.953,-0.739,-45.715,-41.687,-101.074
-0.735,-1.968,-0.660,61.096,-11.963,-102.478
-0.659,-1.794,-0.413,162.903,1.160,-101.929
-0.679,-1.719,-0.175,231.445,-5.554,-101.440
-0.759,-1.748,0.096,265.991,-15.442,-104.980
-0.803,-1.741,0.272,255.249,-18.738,-112.305
-0.687,-1.625,0.196,196.289,-20.447,-113.708
-0.598,-1.362,-0.035,133.850,-34.302,-102.661
-0.576,-1.109,-0.335,110.107,-51.575,-77.576
-0.522,-1.003,-0.395,114.380,-53.833,-43.640
-0.391,-1.198,-0.364,120.789,-47.668,-13.245
-0.606,-0.916,-0.419,107.605,-41.443,-0.122
-0.533,-0.979,-0.366,96.191,-25.146,21.118
-0.171,-1.120,-0.305,78.430,-5.432,21.973
-0.026,-1.125,-0.278,40.466,-3.296,-1.587
-0.081,-1.090,-0.361,9.705,-13.550,-13.733
-0.174,-1.063,-0.428,-10.376,-18.616,-16.663
-0.226,-1.037,-0.481,-31.250,-20.996,-15.320
-0.235,-1.024,-0.477,-47.913,-22.217,-12.756
-0.214,-1.017,-0.433,-45.044,-18.799,-4.883
-0.215,-0.904,-0.345,-18.005,-6.042,6.409
-0.123,-0.974,-0.111,23.010,11.536,12.817
-0.030,-0.916,-0.063,49.744,17.273,5.249
0.057,-0.853,-0.102,60.364,15.259,-0.305
0.105,-0.847,-0.202,59.631,10.315,-4.944
0.125,-0.816,-0.241,52.917,6.287,-9.338
0.152,-0.864,-0.306,43.945,-2.441,-6.348
0.152,-0.866,-0.371,27.222,-15.686,-1.831
0.112,-0.864,-0.375,11.108,-29.724,7.080
0.006,-0.969,-0.376,8.057,-39.734,23.071
-0.101,-0.997,-0.318,13.306,-38.147,36.255
-0.119,-1.063,-0.226,28.442,-27.466,47.607
-0.031,-1.104,-0.134,51.270,-13.855,46.082
0.065,-1.093,-0.155,82.153,-8.911,30.090
0.164,-1.073,-0.254,109.436,-11.780,12.756
0.220,-1.005,-0.345,119.019,-17.944,-3.601
0.159,-0.861,-0.508,109.741,-30.151,-18.127
-0.054,-0.864,-0.630,96.313,-42.542,-25.940
-0.383,-1.017,-0.883,92.529,-48.096,-29.663
-0.430,-1.171,-0.935,106.079,-26.733,-25.635
-0.118,-1.153,-0.539,120.911,0.183,-9.216
-0.014,-1.055,-0.540,130.005,-3.540,8.545
0.020,-0.939,-0.675,137.024,-5.249,11.597
0.027,-0.910,-0.844,118.164,-3.967,8.179
-0.007,-1.015,-0.912,74.768,-1.953,5.127
0.000,-1.144,-0.948,30.273,-1.831,6.042
0.043,-1.116,-0.943,-8.423,-2.075,7.263
0.040,-0.981,-0.696,-46.387,-0.061,2.441
0.054,-0.919,-0.474,-67.566,3.174,-2.869
0.022,-0.894,-0.446,-62.012,5.798,-8.545
-0.047,-0.806,-0.371,-50.171,7.385,-12.451
-0.062,-0.785,-0.318,-37.598,3.662,-7.202
-0.031,-0.809,-0.350,-22.461,-1.526,1.404
-0.019,-0.850,-0.430,-10.193,-4.639,7.141
-0.056,-0.824,-0.458,-6.104,-6.531,10.742
-0.023,-0.860,-0.488,-8.301,-10.376,18.311
0.033,-0.936,-0.527,-12.390,-13.855,24.536
0.066,-0.982,-0.545,-16.357,-13.184,23.376
0.066,-0.991,-0.540,-19.531,-9.888,17.700
0.060,-0.969,-0.535,-21.484,-6.897,11.902
0.036,-0.934,-0.526,-23.865,-4.883,7.690
0.011,-0.943,-0.526,-27.466,-4.028,5.249
0.008,-0.922,-0.504,-32.104,-2.869,4.089
0.014,-0.905,-0.467,-35.767,-1.648,3.174
-0.016,-0.884,-0.454,-37.354,-0.122,2.380
-0.036,-0.894,-0.485,-35.400,2.808,2.258
-0.061,-0.893,-0.564,-29.358,9.460,2.441
0.032,-0.891,-0.472,-22.522,21.606,1.831
-0.006,-0.792,-0.505,-20.874,26.123,1.404
-0.013,-0.792,-0.546,-9.949,30.273,2.441
0.082,-0.916,-0.531,-4.272,34.302,7.446
0.074,-0.958,-0.502,-9.521,29.358,8.850
0.063,-0.993,-0.380,-15.076,24.963,9.338
0.069,-1.020,-0.376,-23.804,15.686,11.780
0.093,-1.086,-0.362,-30.151,5.859,12.695
0.051,-1.084,-0.354,-40.100,-5.249,11.292
-0.007,-1.002,-0.354,-47.974,-13.367,12.390
-0.038,-0.929,-0.378,-44.617,-18.127,17.334
-0.003,-0.922,-0.422,-41.016,-25.513,24.536
-0.002,-0.951,-0.498,-50.842,-36.621,31.433
-0.025,-0.971,-0.500,-66.711,-45.898,36.133
-0.090,-0.992,-0.455,-80.750,-51.819,41.138
-0.195,-0.997,-0.455,-83.069,-55.115,48.157
-0.274,-1.042,-0.536,-67.871,-54.199,53.284
-0.248,-1.026,-0.560,-45.166,-42.542,46.143
-0.247,-0.974,-0.552,-24.231,-24.231,30.090

0.273,-1.939,-0.332,-37.415,-25.085,49.255
0.009,-1.671,-0.307,-28.381,-33.020,43.884
-0.337,-1.347,-0.382,-8.911,-32.043,44.250
-0.374,-1.255,-0.511,-5.554,-16.479,45.227
-0.186,-1.281,-0.447,-18.616,9.766,39.246
0.006,-1.289,-0.253,-34.302,29.175,26.672
0.167,-1.271,-0.121,-39.795,32.410,12.207
0.234,-1.174,-0.104,-32.654,23.071,-1.648
0.211,-1.009,-0.163,-23.621,8.484,-13.000
0.130,-0.829,-0.316,-19.592,-5.005,-19.165
0.038,-0.663,-0.381,-16.907,-10.986,-19.531
-0.025,-0.607,-0.426,-6.836,-11.047,-13.794
-0.124,-0.495,-0.216,10.803,-9.033,-7.507
-0.117,-0.676,-0.386,33.203,-10.925,2.014
-0.134,-0.716,-0.333,46.875,-2.197,0.183
-0.073,-0.793,-0.328,51.941,5.676,-3.174
0.014,-0.755,-0.299,50.964,12.878,-8.728
0.128,-0.749,-0.354,44.312,15.686,-13.245
0.215,-0.763,-0.401,29.175,16.052,-18.433
0.249,-0.711,-0.364,10.742,12.939,-20.935
0.304,-0.725,-0.325,1.404,7.385,-15.991
0.333,-0.734,-0.237,1.282,2.991,-5.859
0.382,-0.797,-0.151,9.094,-0.793,7.935
0.451,-0.932,-0.073,20.630,-2.136,21.729
0.513,-0.914,0.058,29.663,-2.808,29.785
0.608,-0.957,0.022,39.978,-7.568,35.889
0.628,-0.815,-0.077,43.945,-13.916,34.607
0.640,-0.696,-0.218,45.715,-24.109,35.950
0.684,-0.733,-0.370,45.044,-35.522,36.255
0.621,-0.829,-0.557,29.785,-50.293,28.992
0.493,-0.910,-0.684,4.883,-56.091,13.245
0.382,-1.162,-0.751,-15.137,-46.448,-4.333
0.270,-1.449,-0.621,-28.564,-28.748,-24.841
0.212,-1.503,-0.427,-36.255,-14.465,-46.143
0.211,-1.371,-0.312,-28.198,-5.066,-55.298
0.292,-1.202,-0.229,-5.798,1.099,-48.706
0.367,-1.056,-0.254,21.118,-1.038,-34.241
0.372,-1.040,-0.265,40.100,-8.057,-20.325
0.304,-0.970,-0.308,37.598,-16.418,-13.733
0.249,-0.832,-0.275,23.132,-21.362,-6.958
0.231,-0.784,-0.331,10.742,-26.306,4.028
0.188,-0.758,-0.399,3.052,-28.259,12.939
0.136,-0.775,-0.441,-2.808,-25.269,19.470
0.066,-0.847,-0.472,-2.563,-20.447,21.973
-0.002,-0.912,-0.473,-0.854,-13.367,18.311
-0.040,-0.988,-0.425,1.404,-5.066,10.864
-0.025,-0.981,-0.386,3.174,1.343,0.916
-0.004,-1.015,-0.333,4.944,4.822,-8.362
0.046,-0.970,-0.312,5.676,4.822,-17.395
0.029,-0.998,-0.335,7.751,2.502,-21.545
0.007,-0.971,-0.380,8.118,2.380,-23.315
0.003,-0.966,-0.414,7.629,6.531,-22.034
0.041,-0.911,-0.394,3.967,13.428,-18.982
0.047,-0.905,-0.382,0.488,18.311,-14.465
0.026,-0.906,-0.394,-2.930,21.240,-11.414
0.025,-0.912,-0.401,-5.188,24.109,-9.399
0.005,-0.934,-0.398,-7.690,27.039,-7.568
0.032,-0.948,-0.369,-9.705,28.687,-6.531
0.051,-0.966,-0.391,-9.155,28.015,-6.348
0.075,-0.961,-0.376,-6.226,28.320,-7.385
0.067,-0.942,-0.355,-1.282,26.306,-8.301
0.021,-0.942,-0.411,7.141,22.949,-8.850
0.040,-0.943,-0.407,16.296,22.766,-8.606
0.025,-0.941,-0.409,22.339,19.531,-8.850
-0.005,-0.930,-0.435,28.625,13.489,-8.911
-0.037,-0.931,-0.494,33.142,8.545,-8.240
0.018,-0.920,-0.459,33.447,7.385,-6.531
0.011,-0.916,-0.412,28.687,5.127,-2.625
0.018,-0.945,-0.418,26.489,1.526,3.662
0.048,-0.995,-0.467,26.733,-0.671,10.193
0.060,-0.995,-0.497,24.292,-1.404,12.573
0.031,-0.996,-0.478,19.348,-1.282,13.000
0.013,-1.000,-0.498,13.550,-1.648,12.512
0.001,-1.001,-0.482,4.272,-0.061,11.047
-0.016,-0.987,-0.463,-6.897,0.854,8.606
0.082,-0.909,-0.451,-17.822,1.160,6.836
0.197,-0.885,-0.459,-20.203,0.610,9.216
0.190,-0.904,-0.457,-14.099,-1.099,11.963
0.115,-0.938,-0.466,-9.766,-3.906,9.766
0.089,-0.924,-0.447,-11.780,-1.770,5.127
0.116,-0.910,-0.396,-15.381,2.014,1.099
0.167,-0.863,-0.385,-16.541,3.296,-2.014
0.206,-0.860,-0.416,-13.000,2.991,-3.174
0.166,-0.924,-0.425,-5.127,2.502,-3.174
0.102,-0.947,-0.420,-0.732,2.014,-4.944
0.094,-0.948,-0.414,-0.793,3.479,-6.836
0.085,-0.950,-0.419,0.061,3.601,-7.263
0.082,-0.949,-0.424,0.916,3.540,-7.324
0.079,-0.952,-0.428,0.671,3.479,-6.592
0.079,-0.955,-0.433,0.305,2.991,-6.042
