aX,aY,aZ,gX,gY,gZ
0.227,-0.474,0.399,-47.668,22.522,-76.965
0.069,0.045,-0.357,-26.917,-17.883,-104.126
0.288,0.308,-0.485,-21.301,-5.249,-119.324
1.125,0.273,-0.053,-4.700,34.790,-127.441
2.630,0.023,0.611,14.221,74.158,-135.132
3.750,-0.536,1.356,33.997,76.294,-144.165
3.664,-0.724,1.180,44.739,6.958,-169.128
2.376,-0.318,0.439,38.208,-79.407,-202.087
1.776,-0.007,-0.352,39.429,-106.262,-226.929
1.821,-0.222,-0.469,29.114,-48.401,-237.366
1.848,-1.082,-0.217,-5.127,27.466,-241.150
1.950,-2.504,0.116,-45.776,81.848,-247.742
2.251,-3.589,0.853,-63.293,123.840,-272.522
1.937,-3.759,1.237,-16.174,102.722,-301.758
0.824,-3.062,1.019,34.241,27.100,-323.730
-0.040,-2.185,0.659,16.846,-26.306,-324.890
-0.276,-1.494,0.513,-31.006,-31.982,-304.016
-0.204,-0.945,0.403,-49.011,-29.724,-279.297
-0.115,-0.618,0.273,-45.471,-37.720,-258.728
-0.112,-0.299,-0.058,-37.964,-52.612,-250.061
-0.012,-0.078,-0.535,-24.109,-53.162,-240.295
0.226,0.048,-0.665,-20.142,-27.283,-221.985
0.446,0.060,-0.456,-24.048,9.399,-192.688
0.634,-0.405,0.158,-17.944,44.739,-149.597
0.781,-0.874,0.826,-7.507,48.096,-124.878
0.724,-0.897,0.980,7.019,9.827,-125.793
0.409,-0.570,0.647,17.090,-38.025,-130.798
0.112,-0.377,0.258,13.245,-59.753,-130.066
-0.109,-0.343,0.069,11.108,-58.899,-128.906
-0.152,-0.298,0.003,18.372,-55.176,-129.395
-0.262,-0.416,-0.173,33.691,-52.490,-120.361
-0.342,-0.720,-0.264,39.795,-37.292,-106.628
-0.338,-1.100,-0.273,36.743,-12.390,-101.929
-0.179,-1.381,-0.247,54.993,8.850,-109.009
0.033,-1.507,-0.176,114.746,20.691,-120.117
0.120,-1.564,-0.003,194.275,21.606,-123.230
-0.030,-1.679,0.224,248.291,9.033,-114.380
-0.240,-1.813,0.325,259.644,-9.766,-101.257
-0.329,-1.946,0.187,234.070,-31.494,-88.135
-0.322,-2.084,-0.080,188.904,-48.523,-72.388
