aX,aY,aZ,gX,gY,gZ
0.203,1.368,-0.840,-64.331,63.782,-15.503
0.067,1.693,-0.772,-65.430,73.425,-3.906
0.115,1.513,-0.541,-54.199,86.609,9.827
0.344,0.943,-0.368,-33.630,107.727,30.457
0.468,0.608,-0.457,-16.907,131.226,54.260
0.462,0.826,-0.491,-4.089,149.597,70.984
0.439,1.224,-0.381,2.563,166.321,82.520
0.357,1.425,-0.449,5.127,192.444,90.027
0.468,1.667,-0.411,18.433,203.552,91.736
1.747,1.495,-0.445,50.781,178.955,98.450
3.830,0.115,-0.428,107.056,135.986,90.881
4.000,-0.026,-0.193,118.713,58.105,49.377
4.000,1.230,-0.117,76.721,-7.751,43.579
4.000,1.644,-1.975,88.318,5.676,-4.150
4.000,1.312,-3.336,185.669,42.908,-171.265
4.000,1.223,-0.736,274.414,48.340,-164.246
1.964,0.327,0.405,212.708,-8.545,14.648
-1.488,-0.076,0.415,79.407,-57.190,93.994
-3.026,-0.613,-0.476,3.601,-65.430,163.940
-1.708,-0.130,-1.605,-7.202,-10.864,205.261
-0.204,0.728,-1.925,-23.071,68.542,228.455
0.008,1.177,-1.504,32.043,116.577,259.583
0.362,2.119,-1.220,71.533,153.381,231.873
1.890,2.853,-0.093,27.161,199.280,127.441
2.642,2.049,0.594,12.207,160.461,37.231
1.711,1.215,0.406,117.554,67.444,-5.981
0.823,0.844,-0.026,226.013,5.737,-0.916
0.558,0.640,-0.073,259.338,-15.869,46.021
0.463,0.352,-0.463,242.371,-19.470,101.868
0.499,0.170,-1.023,184.265,-14.648,128.784
0.639,0.059,-1.200,138.916,13.672,132.446
0.821,0.278,-0.950,142.212,47.913,123.779
1.243,0.443,-0.090,139.526,70.801,109.070
1.623,0.423,0.633,113.342,58.411,95.764
1.337,0.360,0.251,90.698,10.620,95.215
1.078,0.233,-0.235,92.529,-15.076,113.831
1.044,0.124,-0.492,84.717,-17.883,131.104
0.852,0.258,-0.471,48.523,-11.658,128.235
0.675,0.718,-0.350,13.306,2.625,113.037
0.703,1.223,-0.270,-2.808,15.076,103.210
0.876,1.428,-0.218,1.038,18.616,106.873
0.765,1.191,-0.248,11.414,7.263,115.540
0.731,0.547,-0.203,15.015,-1.160,117.432
0.656,0.262,-0.234,1.526,0.305,97.717
0.865,0.461,-0.139,-11.108,10.315,68.909
0.878,0.926,-0.035,-7.690,21.240,50.049
0.897,1.593,0.219,2.502,25.757,46.082
0.775,2.067,0.269,15.320,16.357,53.589
0.594,2.011,-0.056,36.560,-0.854,64.148
0.397,1.299,-0.343,58.350,-17.944,66.223
0.107,0.317,-0.361,59.509,-27.954,55.786
0.075,-0.067,-0.141,33.691,-23.560,34.363
0.226,0.125,0.106,12.207,-10.803,15.442
0.382,0.556,0.214,19.714,1.709,15.320
0.556,0.922,0.229,31.616,11.169,28.687
0.718,0.918,0.180,31.311,12.146,42.969
0.700,0.564,0.031,26.794,3.296,47.302
0.553,0.275,-0.128,15.808,-6.348,38.513
0.431,0.331,-0.178,-3.296,-9.949,25.818
0.397,0.647,-0.088,-18.555,-8.118,19.226
0.404,1.027,0.013,-23.865,-4.333,22.400
0.394,1.227,0.024,-21.851,-1.709,31.799
0.389,1.193,-0.028,-17.151,0.061,38.574
0.383,1.026,-0.087,-12.390,3.418,38.147
0.358,0.895,-0.180,-9.888,7.507,33.813
