aX,aY,aZ,gX,gY,gZ
0.667,1.890,-0.153,-59.875,114.014,-57.312
0.849,1.758,-0.007,-47.302,108.337,-37.476
0.791,1.172,-0.090,-32.349,91.980,-7.690
0.476,0.662,-0.370,-25.513,82.581,14.587
0.268,0.537,-0.548,-22.278,94.482,25.269
0.284,0.655,-0.523,-6.897,118.774,35.278
0.529,0.836,-0.332,12.756,144.165,53.955
0.354,1.199,-0.400,18.494,163.574,71.716
0.886,1.617,-0.839,9.827,153.687,74.219
2.423,1.225,-1.666,29.541,115.784,69.336
3.997,1.314,-1.351,92.834,69.702,56.763
4.000,1.681,-0.826,117.859,22.034,43.091
4.000,2.483,-4.000,97.473,-16.113,-204.529
4.000,1.513,-1.504,321.716,-29.602,-283.386
0.710,-0.606,0.713,324.585,0.061,36.560
-3.368,-1.029,0.790,109.375,9.155,158.325
-1.823,-0.135,-0.182,-106.201,63.904,161.377
-0.112,0.968,-1.102,-130.859,69.702,192.749
-0.110,1.154,-1.167,-42.419,66.040,255.249
0.608,1.492,-0.621,14.404,106.567,225.037
1.656,1.974,-0.532,77.026,131.470,113.037
1.638,2.122,-0.369,140.564,105.896,3.296
0.889,1.773,-0.241,207.642,54.749,-50.903
0.349,1.171,-0.680,234.192,16.235,-51.880
0.087,0.610,-0.879,195.740,8.240,-7.080
0.432,-0.073,-0.410,165.894,30.640,68.237
1.023,-0.162,-0.231,153.259,52.429,121.460
1.285,0.303,-0.624,142.761,55.298,126.404
1.375,0.589,-0.584,150.696,57.129,117.737
1.543,0.487,-0.087,140.381,65.552,124.146
1.590,0.177,0.064,115.906,57.556,128.052
1.206,-0.067,-0.372,88.440,21.790,121.887
0.680,0.026,-0.716,62.378,-4.150,119.629
0.514,0.321,-0.606,45.410,2.808,127.991
0.642,0.587,-0.364,19.958,16.663,128.479
0.880,0.479,-0.124,-6.653,28.931,114.746
0.768,0.576,-0.080,-19.470,37.964,91.064
0.847,0.516,-0.039,-12.146,45.837,75.928
0.937,0.736,-0.043,-1.465,49.744,65.186
1.011,0.831,-0.017,10.498,45.105,66.406
0.962,0.504,-0.161,10.986,31.799,75.256
0.845,0.104,-0.381,0.977,20.325,83.557
0.661,-0.053,-0.423,-14.893,12.695,88.379
0.555,0.175,-0.412,-29.297,11.414,89.722
0.565,0.678,-0.338,-31.433,22.827,89.661
0.710,1.104,-0.291,-21.912,37.354,89.172
1.031,1.391,-0.097,-18.311,41.199,80.322
0.845,1.166,-0.262,-10.742,14.771,79.102
0.529,1.095,-0.415,4.028,-3.357,73.853
0.428,0.796,-0.389,17.822,-4.272,71.777
0.130,0.556,-0.453,3.662,-13.367,63.965
-0.038,0.470,-0.484,-10.681,-11.780,60.852
0.088,0.668,-0.405,-17.761,5.188,58.350
0.433,0.877,-0.388,-22.095,16.418,61.584
0.806,1.026,-0.395,-21.484,21.973,60.730
0.914,0.951,-0.457,-19.531,23.560,49.744
0.788,0.829,-0.477,-16.968,17.761,39.185
0.772,0.822,-0.418,-17.090,8.789,35.339
0.706,0.827,-0.327,-16.296,-3.845,33.569
0.528,0.689,-0.246,-7.568,-17.029,31.128
0.324,0.590,-0.323,9.399,-23.071,24.719
0.212,0.667,-0.404,25.452,-14.648,18.616
0.243,0.631,-0.346,19.409,0.366,24.963
0.400,0.525,-0.360,-10.742,12.878,35.706
0.624,0.724,-0.419,-36.438,21.423,36.438
0.873,0.974,-0.370,-41.260,22.156,37.048
0.911,1.238,-0.408,-34.485,12.024,35.095
0.905,1.459,-0.449,-20.752,1.587,26.672
0.865,1.387,-0.405,-7.446,-3.967,13.306
0.736,1.087,-0.362,2.441,-12.024,-1.648
0.600,0.928,-0.336,16.846,-23.926,-14.038
0.468,0.778,-0.303,29.480,-33.386,-22.766
0.365,0.559,-0.243,31.738,-32.349,-27.283
0.343,0.296,-0.183,20.813,-22.400,-26.672
0.258,0.225,-0.218,0.183,-10.925,-23.010
0.208,0.281,-0.295,-17.883,-2.625,-11.353
0.452,0.408,-0.279,-26.672,7.202,4.944
0.572,0.642,-0.294,-31.616,12.695,15.625
0.643,0.834,-0.277,-33.813,17.151,21.973
0.813,0.876,-0.299,-33.264,20.935,24.597
0.890,0.900,-0.329,-31.433,16.785,20.508
0.850,0.910,-0.365,-17.639,1.770,12.817
0.719,0.910,-0.381,3.906,-15.442,8.301
0.553,0.809,-0.351,18.005,-26.062,7.812
0.424,0.612,-0.255,15.198,-24.536,10.864
0.340,0.502,-0.230,3.601,-15.869,14.526
0.336,0.556,-0.263,-9.094,-5.859,17.944
0.416,0.685,-0.302,-17.578,3.784,20.996
0.569,0.797,-0.305,-18.799,10.559,23.071
0.658,0.898,-0.315,-16.418,10.681,21.790
0.656,0.929,-0.331,-11.292,5.249,18.738
0.626,0.875,-0.327,-5.310,-0.488,15.198
0.567,0.793,-0.331,0.244,-4.883,11.047
0.553,0.714,-0.316,4.822,-7.812,8.850
0.491,0.671,-0.308,7.324,-8.118,7.324
0.426,0.667,-0.297,3.296,-4.944,6.897
0.432,0.722,-0.313,-4.639,-0.610,7.019
0.500,0.771,-0.330,-7.751,2.808,6.165
0.558,0.861,-0.337,-4.211,5.310,3.174
0.624,0.954,-0.353,0.671,6.042,1.221
0.669,0.950,-0.364,2.991,3.052,1.160
0.657,0.878,-0.364,5.005,-1.465,-0.366
0.602,0.798,-0.350,6.836,-4.517,-2.380
0.533,0.744,-0.345,6.409,-6.653,-2.930
0.485,0.707,-0.355,6.104,-6.897,-2.258
0.473,0.686,-0.362,5.066,-5.798,-1.709
0.470,0.683,-0.348,1.526,-4.822,-2.014
0.484,0.651,-0.302,-5.493,-5.127,-2.808
0.479,0.633,-0.282,-11.292,-5.554,-5.371
0.461,0.674,-0.306,-12.695,-5.066,-8.545
0.470,0.754,-0.333,-9.888,-3.052,-10.132
0.478,0.825,-0.355,-7.812,0.427,-9.827
0.509,0.864,-0.380,-8.484,5.432,-8.179
0.571,0.904,-0.400,-7.751,9.216,-7.080
0.640,0.912,-0.397,-6.897,8.789,-6.409
0.666,0.911,-0.378,-5.920,4.272,-7.507
0.655,0.910,-0.351,-3.845,-1.404,-9.888
0.635,0.892,-0.322,-1.526,-5.127,-11.658
0.616,0.854,-0.295,3.052,-6.897,-13.489

1.044,0.639,-0.477,-63.782,-41.626,-10.498
1.032,0.550,-0.382,-50.659,-42.725,-14.954
0.980,0.454,-0.254,-45.227,-39.490,-19.043
0.966,0.347,-0.196,-47.180,-36.133,-22.339
