aX,aY,aZ,gX,gY,gZ
0.047,2.074,-0.724,80.627,-9.766,-7.629
0.016,2.223,-0.494,111.023,34.119,-3.235
0.333,1.904,0.195,103.210,89.661,7.996
0.905,1.387,1.031,66.406,113.098,17.761
1.270,0.862,1.378,61.829,68.909,25.391
1.333,0.242,0.990,114.380,-14.099,35.889
1.291,-0.342,0.297,165.955,-79.407,36.133
1.187,-0.483,-0.309,176.453,-106.628,13.367
0.740,-0.341,-0.600,159.363,-97.412,-6.531
0.422,-0.197,-0.400,108.459,-55.298,-6.226
0.238,-0.234,-0.120,40.344,-20.630,8.911
0.008,-0.459,-0.073,-3.479,-15.442,22.644
-0.183,-0.637,-0.163,-29.175,-15.503,24.841
-0.341,-0.854,-0.582,-50.049,-8.057,19.775
-0.708,-0.773,-1.051,-62.561,16.907,-5.432
-0.764,-0.317,-0.721,-62.927,78.979,-38.940
0.053,0.045,0.114,-38.940,153.931,-59.021
1.415,0.222,0.917,-12.390,200.012,-80.078
2.882,0.414,1.518,18.433,190.186,-99.121
3.241,0.033,1.288,73.547,91.797,-91.919
2.369,-0.917,0.279,98.083,-62.012,-66.650
1.441,-1.922,-0.438,21.729,-143.433,-68.787
0.639,-2.348,-0.981,-74.280,-120.605,-126.892
1.086,-2.186,-0.679,-84.045,-52.673,-205.627
3.156,-0.782,-0.240,-13.123,32.898,-278.320
4.000,2.541,-0.313,35.461,124.878,-322.266
4.000,4.000,2.666,-24.902,132.202,-288.330
0.950,3.131,2.251,-60.791,-82.825,-216.370
-1.142,0.652,0.248,76.233,-310.852,-134.521
-1.675,-1.778,-2.803,96.069,-292.786,-130.554
-1.629,-2.228,-2.826,-33.875,-80.078,-237.366
0.246,-3.155,-1.413,-32.654,171.570,-269.348
2.820,-3.470,2.297,-3.052,286.926,-297.241
2.654,-2.190,1.702,-50.903,-22.095,-294.312
0.253,-0.693,0.230,-96.008,-87.463,-249.023
-0.229,-0.629,0.254,-84.229,-98.145,-215.759
-0.441,-0.186,-0.134,-54.810,-104.553,-219.055
-0.484,0.108,-0.543,-18.677,-85.266,-224.182
-0.280,0.301,-0.529,-7.629,-33.691,-221.558
0.183,0.170,-0.375,-25.818,20.325,-206.421
0.641,-0.080,0.006,-55.847,55.603,-189.392
0.916,-0.335,0.420,-61.523,55.542,-172.913
0.899,-0.647,0.614,-25.452,22.400,-153.137
0.630,-0.832,0.538,20.874,-24.841,-140.320
0.315,-0.644,0.414,43.457,-57.678,-140.137
-0.007,-0.417,0.266,42.419,-72.876,-144.043
-0.331,-0.403,0.078,28.015,-83.252,-144.104
-0.688,-0.441,-0.240,16.418,-95.337,-144.775
-1.027,-0.695,-0.756,34.790,-98.511,-145.142
-1.148,-0.947,-0.932,67.810,-65.857,-152.527
