aX,aY,aZ,gX,gY,gZ
-0.343,-0.379,-1.006,-49.683,0.549,-31.799
0.149,-0.360,-0.291,-45.410,76.782,-46.631
0.767,-0.339,0.249,-18.677,102.783,-50.781
0.894,-0.479,0.657,16.357,83.191,-57.556
0.612,-0.747,0.865,67.017,37.903,-66.895
0.298,-0.939,0.609,84.656,-8.301,-83.679
-0.135,-0.917,-0.155,44.434,-53.467,-113.037
-0.703,-0.703,-0.974,-13.367,-71.838,-150.208
-1.024,-0.600,-1.086,-45.593,-31.067,-167.175
-0.719,-0.828,-0.817,-47.913,43.396,-158.630
0.033,-1.116,-0.337,-52.185,114.929,-149.902
0.754,-1.239,0.260,-46.326,148.743,-150.513
1.279,-1.110,0.706,-26.672,136.597,-168.762
1.604,-0.824,0.758,-19.409,95.703,-196.228
1.899,-0.596,0.483,-37.231,54.749,-219.177
2.145,-0.584,0.137,-72.021,39.368,-239.624
2.967,-1.032,-0.113,-108.459,59.875,-257.690
4.000,-0.956,-0.049,-148.010,98.633,-287.537
4.000,-1.644,0.480,-131.653,136.719,-275.574
4.000,-1.976,1.622,-79.895,139.587,-264.282
3.827,-2.146,1.258,-43.396,45.227,-278.687
2.520,-1.920,0.540,-10.437,-36.255,-286.987
1.172,-1.682,0.313,42.542,-64.880,-281.555
-0.207,-1.502,0.164,111.938,-81.055,-276.245
-1.203,-1.791,-0.012,168.152,-100.708,-273.499
-1.939,-1.867,-0.160,185.913,-107.910,-272.949
-2.260,-2.067,-0.459,183.228,-90.515,-260.315
-2.152,-2.157,-0.694,145.569,-50.476,-259.338
-1.641,-1.969,-0.694,79.407,-0.427,-271.545
-1.012,-1.719,-0.546,-1.221,48.157,-276.123
-0.168,-1.673,-0.184,-79.346,85.266,-258.545
0.765,-1.391,0.294,-114.624,104.919,-230.591
1.503,-1.132,0.690,-99.609,99.976,-198.608
1.766,-0.897,0.565,-70.679,72.571,-178.467
1.833,-0.485,0.437,-68.542,44.189,-161.560
1.450,-0.165,0.278,-59.814,2.991,-135.193
0.682,-0.105,0.170,-30.151,-56.580,-117.004
-0.099,-0.081,0.040,-10.559,-108.765,-118.225
-0.706,-0.229,-0.250,-4.333,-130.798,-119.507
-1.045,-0.478,-0.509,-6.958,-119.507,-109.802
-1.102,-0.850,-0.641,16.479,-86.914,-94.238
-1.010,-1.118,-0.572,86.426,-45.410,-78.552
-0.851,-1.264,-0.304,185.303,-9.338,-65.125
-0.764,-1.502,0.012,263.428,8.728,-56.274
-0.802,-1.867,0.176,287.415,4.211,-51.392
-0.845,-2.082,0.243,255.737,-17.883,-52.490
-0.859,-2.113,0.054,206.116,-43.396,-50.842
-0.776,-2.182,-0.119,170.593,-54.504,-37.964
-0.715,-2.121,-0.222,143.738,-53.711,-24.048
-0.646,-2.005,-0.246,124.023,-48.584,-14.526
-0.555,-1.821,-0.250,112.854,-40.588,-11.902
-0.427,-1.679,-0.292,104.675,-31.677,-15.442
-0.349,-1.327,-0.522,85.205,-27.832,-20.996
-0.189,-1.275,-0.370,61.523,-15.808,-21.179
-0.109,-1.179,-0.183,39.246,-13.428,-23.926
-0.172,-0.989,-0.231,11.169,-25.574,-25.024
-0.215,-0.813,-0.242,-10.864,-31.738,-22.095
-0.290,-0.641,-0.304,-20.569,-35.156,-19.592
-0.440,-0.465,-0.515,-19.348,-31.494,-12.634
-0.435,-0.537,-0.501,-19.104,-12.939,3.052
-0.318,-0.692,-0.426,-26.550,-0.366,9.888
-0.064,-0.930,-0.305,-36.987,0.610,4.761
0.008,-1.004,-0.333,-44.373,-11.108,-3.845
-0.052,-1.098,-0.390,-32.898,-18.494,-0.549
-0.109,-1.143,-0.367,-13.672,-11.719,0.061
-0.097,-1.064,-0.275,4.883,0.732,-4.578
-0.031,-0.929,-0.229,17.395,10.986,-8.179
0.002,-0.792,-0.225,22.827,14.343,-7.324
0.019,-0.720,-0.260,26.245,11.292,-1.587
0.011,-0.699,-0.351,30.518,5.676,5.493
-0.025,-0.609,-0.477,31.372,-0.244,10.193
0.012,-0.804,-0.552,30.029,-5.615,17.639
0.014,-0.891,-0.569,24.414,-12.146,17.578
0.005,-1.033,-0.622,26.978,-16.113,20.569
-0.021,-1.103,-0.555,47.241,-8.057,28.259
0.022,-1.089,-0.407,69.519,-0.549,32.898
0.063,-0.986,-0.224,82.153,0.000,27.954
0.063,-0.836,-0.078,87.036,-2.502,18.188
0.052,-0.834,-0.010,91.797,-3.662,10.254
-0.007,-0.763,-0.037,88.684,-6.348,2.441
-0.063,-0.680,-0.102,83.801,-7.141,-0.427
-0.071,-0.654,-0.260,74.829,-4.883,2.625
-0.056,-0.650,-0.368,49.377,0.122,7.446
-0.019,-0.666,-0.417,14.587,0.977,19.470
0.008,-0.780,-0.423,-10.376,-2.625,40.039
0.021,-1.063,-0.378,-21.973,-6.409,63.477
0.003,-1.608,-0.173,-29.419,-7.568,79.102
0.056,-2.024,-0.096,-36.133,-16.663,70.374
0.121,-2.179,-0.637,-15.869,-30.823,42.603
0.171,-1.775,-0.660,48.523,-16.174,19.470
0.126,-1.067,-0.543,82.703,-5.920,9.033
0.080,-0.806,-0.502,68.054,-8.301,4.395
0.026,-0.728,-0.477,41.565,-9.705,4.089
-0.019,-0.747,-0.378,15.869,-8.789,6.775
0.003,-0.810,-0.245,5.249,-5.737,11.353
0.019,-0.860,-0.238,14.038,-5.737,14.526
0.054,-0.910,-0.358,29.724,-8.118,14.954
0.121,-1.004,-0.454,34.058,-6.348,16.113
0.144,-1.094,-0.527,29.968,-3.113,12.695
0.092,-1.141,-0.607,23.010,-1.770,7.080
0.089,-1.161,-0.645,11.230,-3.113,7.385
0.086,-1.105,-0.637,-4.150,-6.592,10.315
0.081,-1.016,-0.534,-23.132,-8.423,12.024
0.089,-0.950,-0.397,-36.682,-9.094,12.512
0.121,-0.926,-0.310,-37.476,-8.545,11.475
0.126,-0.916,-0.255,-27.771,-6.104,6.409
0.108,-0.837,-0.243,-14.343,-2.991,-0.793
0.100,-0.831,-0.263,2.563,0.488,-5.310
0.112,-0.843,-0.310,14.160,2.441,-7.935
0.089,-0.863,-0.383,15.930,0.977,-10.010
0.117,-0.899,-0.445,13.184,0.671,-10.620
0.157,-0.951,-0.439,8.667,1.770,-7.568
0.155,-0.991,-0.431,5.981,0.061,-5.188
0.122,-0.978,-0.389,7.446,-1.465,-5.432
0.065,-0.944,-0.365,10.742,-3.052,-6.226
-0.010,-0.932,-0.410,13.672,-4.761,-6.897
-0.037,-0.960,-0.488,12.756,-5.066,-6.775
-0.005,-0.999,-0.551,4.883,-4.822,-5.249
0.050,-1.010,-0.561,-9.521,-6.226,-2.258

0.423,-1.542,-0.345,-23.743,4.883,-3.296
0.284,-1.439,-0.405,1.526,5.493,-9.399
0.162,-1.239,-0.513,31.921,10.742,-14.343
0.108,-1.041,-0.602,45.715,22.461,-17.456
0.170,-0.898,-0.551,39.246,37.170,-18.799
0.307,-0.800,-0.407,18.066,46.204,-16.357
0.411,-0.841,-0.450,-1.404,44.617,-14.038
0.441,-0.783,-0.322,-17.273,43.945,-16.418
0.400,-0.775,-0.186,-19.897,36.499,-15.991
0.306,-0.830,-0.149,-8.118,22.461,-10.437
0.187,-0.902,-0.245,8.667,5.554,-4.639
0.028,-1.035,-0.434,24.109,-5.249,-0.977
-0.049,-1.063,-0.520,31.921,-3.113,0.305
-0.117,-1.066,-0.574,28.442,4.517,0.427
-0.022,-0.996,-0.549,19.470,13.000,-2.075
0.009,-0.952,-0.570,8.240,18.494,-2.502
0.137,-0.935,-0.521,-2.136,19.775,-2.930
0.201,-0.924,-0.488,-11.047,15.503,-2.991
0.222,-0.904,-0.422,-13.062,8.179,-3.174
0.223,-0.912,-0.413,-8.301,-0.305,-2.014
0.216,-0.977,-0.442,1.953,-4.211,-0.854
0.184,-0.960,-0.417,6.836,0.366,-1.709
0.144,-0.914,-0.279,8.667,8.301,-1.099
0.123,-0.859,-0.276,7.019,11.230,0.549
0.061,-0.857,-0.261,3.845,12.512,1.587
0.023,-0.847,-0.371,-2.563,11.597,0.671
-0.011,-0.876,-0.468,-5.310,11.780,-1.160
-0.063,-0.900,-0.553,-5.493,15.076,-4.272
-0.071,-0.915,-0.534,-3.845,20.203,-9.399
-0.100,-0.881,-0.536,-3.845,23.315,-13.855
-0.061,-0.875,-0.492,-2.808,26.062,-14.954
-0.018,-0.859,-0.465,-5.615,26.489,-13.977
-0.011,-0.896,-0.513,-5.371,26.306,-11.230
0.007,-0.935,-0.436,0.122,28.076,-8.484
0.068,-0.918,-0.316,6.836,22.949,-6.409
0.074,-0.946,-0.446,17.151,9.949,-2.930
0.059,-0.979,-0.586,28.809,2.808,-0.977
0.063,-0.948,-0.600,30.090,3.296,-1.648
0.069,-0.928,-0.593,26.672,4.944,-1.343
0.080,-0.941,-0.538,22.827,5.493,-0.427
