aX,aY,aZ,gX,gY,gZ
0.943,0.545,0.205,-15.686,-22.827,22.888
0.839,0.348,0.032,-31.494,-33.997,22.522
0.816,0.196,-0.106,-43.518,-31.921,24.658
0.858,0.132,-0.126,-43.152,-21.973,22.278
0.897,0.081,-0.064,-30.029,-13.855,16.785
0.911,0.120,-0.019,-17.090,-15.503,11.414
0.872,0.210,-0.065,-11.475,-25.818,10.193
0.821,0.376,-0.167,-9.888,-37.781,12.268
0.803,0.528,-0.266,-8.484,-45.288,16.785
0.822,0.676,-0.321,-4.761,-49.072,20.386
0.798,0.738,-0.314,-1.953,-53.894,23.743
0.687,0.693,-0.278,-5.432,-59.998,27.344
0.543,0.627,-0.281,-13.794,-63.293,29.785
0.454,0.611,-0.327,-18.250,-58.960,30.884
0.451,0.625,-0.357,-15.442,-45.532,31.494
0.514,0.644,-0.341,-7.385,-30.090,30.945
0.561,0.635,-0.312,0.549,-20.752,28.320
0.558,0.575,-0.298,1.465,-18.127,25.208
0.539,0.484,-0.293,-5.188,-18.677,22.644
0.541,0.416,-0.306,-12.695,-19.592,20.508
0.602,0.454,-0.340,-13.062,-17.334,19.714
0.704,0.585,-0.324,-7.080,-9.155,19.043
0.761,0.685,-0.260,-0.427,-0.732,17.822
0.771,0.680,-0.179,-1.038,3.113,15.930
0.731,0.658,-0.154,-9.583,-0.366,11.230
0.682,0.677,-0.227,-16.785,-7.812,7.507
0.724,0.702,-0.309,-15.442,-10.254,9.583
0.811,0.692,-0.300,-7.629,-6.348,13.428
0.819,0.615,-0.227,0.366,-2.808,15.320
0.757,0.518,-0.154,0.183,-3.113,15.137
0.687,0.445,-0.120,-7.385,-6.287,14.465
0.644,0.462,-0.183,-11.719,-11.292,14.832
0.736,0.601,-0.271,-7.996,-10.315,17.639
0.887,0.745,-0.261,1.404,-2.991,20.935
0.949,0.783,-0.195,8.850,0.549,20.935
0.887,0.728,-0.146,5.493,-3.662,16.113
0.729,0.653,-0.143,-5.432,-12.634,9.583
0.591,0.585,-0.202,-12.085,-20.935,7.019
0.560,0.586,-0.278,-8.484,-22.156,8.301
0.608,0.627,-0.300,2.197,-15.808,10.742
0.667,0.679,-0.225,11.292,-6.470,13.977
0.682,0.672,-0.122,12.451,-1.160,15.869
0.645,0.638,-0.066,6.287,-2.747,15.930
0.590,0.608,-0.082,1.282,-8.728,16.418
0.594,0.609,-0.190,1.770,-13.306,18.311
0.686,0.660,-0.271,6.836,-10.986,20.508
0.773,0.696,-0.266,13.000,-5.676,22.583
0.761,0.669,-0.229,14.282,-3.235,22.766
0.671,0.616,-0.207,8.179,-3.540,20.142
0.584,0.599,-0.204,1.282,-4.089,17.944
0.575,0.641,-0.217,0.122,-2.747,17.822
0.657,0.723,-0.209,4.272,2.014,18.555
0.719,0.768,-0.152,9.521,6.653,18.982
0.697,0.768,-0.091,12.085,6.836,18.616
0.617,0.749,-0.060,10.254,3.601,17.212
0.576,0.741,-0.050,9.155,0.977,17.029
0.628,0.748,-0.063,11.414,3.052,18.433
0.722,0.737,-0.048,13.916,7.019,19.531
0.750,0.703,0.000,10.132,7.996,18.555
0.690,0.657,0.007,-2.686,3.540,16.174
0.593,0.613,-0.036,-17.212,-3.052,13.428
0.515,0.620,-0.099,-24.292,-7.324,10.864
0.515,0.701,-0.157,-22.034,-6.775,8.667
0.598,0.841,-0.172,-15.076,-1.587,5.920
0.670,0.924,-0.150,-10.437,2.869,2.258
0.667,0.942,-0.127,-10.315,1.282,-2.808
0.607,0.887,-0.139,-12.512,-4.883,-7.874
0.554,0.781,-0.172,-11.353,-10.742,-11.169
0.542,0.690,-0.205,-5.920,-13.855,-12.878
0.587,0.679,-0.232,1.648,-12.024,-13.245
0.682,0.721,-0.244,9.094,-5.676,-12.512
0.756,0.747,-0.201,13.672,0.610,-11.780
0.737,0.722,-0.146,10.315,1.221,-12.817
0.641,0.683,-0.142,-0.916,-3.967,-14.709
0.556,0.699,-0.198,-10.315,-9.888,-16.479
0.556,0.784,-0.277,-9.766,-11.597,-17.456
0.609,0.875,-0.288,-2.319,-7.385,-17.761
0.639,0.896,-0.220,4.456,-2.380,-18.616
0.606,0.839,-0.169,5.981,-0.732,-20.203
0.581,0.794,-0.160,4.150,-0.610,-21.362
0.616,0.784,-0.197,6.104,0.183,-21.545
0.737,0.800,-0.225,11.414,3.540,-21.179
0.839,0.796,-0.170,14.343,7.629,-21.851
0.836,0.731,-0.106,11.658,6.470,-24.109
0.750,0.645,-0.096,3.601,0.183,-28.015
0.643,0.561,-0.103,-5.432,-5.066,-29.846
0.566,0.519,-0.100,-9.949,-6.714,-29.053
0.569,0.528,-0.123,-6.836,-5.371,-28.137
0.677,0.595,-0.138,-0.793,0.427,-28.381
0.787,0.677,-0.104,3.296,7.690,-30.273
0.807,0.708,-0.083,4.761,9.155,-32.837
0.748,0.698,-0.081,2.258,5.310,-35.339
0.689,0.655,-0.116,0.000,-0.244,-37.109
0.712,0.615,-0.165,1.587,-2.502,-37.781
0.766,0.589,-0.172,4.639,-0.427,-38.635
0.759,0.545,-0.179,5.920,0.671,-39.368
0.702,0.515,-0.193,2.136,0.366,-40.344
0.642,0.519,-0.197,-5.737,0.610,-40.344
0.623,0.560,-0.231,-11.658,0.854,-39.490
0.677,0.654,-0.245,-15.320,2.258,-39.307
0.729,0.740,-0.218,-17.517,4.089,-39.856
0.704,0.780,-0.213,-16.174,3.296,-40.466
0.650,0.749,-0.210,-10.681,2.136,-40.771
0.610,0.676,-0.220,-3.235,3.723,-40.894
0.634,0.574,-0.284,7.935,6.714,-40.222
0.768,0.500,-0.319,19.897,14.282,-40.039
0.888,0.452,-0.282,26.672,23.010,-40.894
0.912,0.401,-0.233,27.771,26.489,-42.603
0.890,0.373,-0.193,22.583,25.269,-45.227
0.801,0.372,-0.155,13.428,22.888,-46.814
0.726,0.398,-0.155,6.104,19.043,-48.462
0.765,0.446,-0.161,1.892,18.982,-47.424
0.875,0.515,-0.190,0.916,21.667,-44.067
0.951,0.567,-0.204,-0.610,23.437,-43.518

1.084,0.890,-0.280,34.607,2.258,-9.521
1.136,0.897,-0.316,43.335,0.854,-9.766
1.173,0.831,-0.325,54.749,2.808,-6.958
1.181,0.705,-0.316,64.941,5.310,-1.892
1.181,0.616,-0.303,72.571,5.859,5.005
1.161,0.519,-0.271,75.806,3.601,13.611
1.129,0.494,-0.231,75.012,-1.770,21.606
1.069,0.502,-0.194,70.190,-8.057,30.090
0.999,0.529,-0.185,64.575,-15.564,38.696
0.926,0.573,-0.192,62.561,-22.949,46.021
0.865,0.619,-0.206,65.857,-27.466,53.528
0.829,0.655,-0.242,70.496,-28.564,62.561
0.815,0.670,-0.281,72.754,-26.001,72.510
0.799,0.665,-0.304,71.594,-21.851,82.153
0.792,0.664,-0.277,67.139,-16.724,90.454
0.804,0.629,-0.244,62.988,-12.451,97.229
0.824,0.565,-0.224,59.814,-9.521,101.074
0.835,0.492,-0.224,56.213,-8.545,100.220
0.839,0.411,-0.247,53.223,-9.155,96.130
0.841,0.331,-0.278,52.979,-9.521,89.905
0.833,0.252,-0.304,56.702,-9.338,83.740
0.820,0.185,-0.315,63.843,-9.460,78.247
0.792,0.136,-0.300,71.533,-9.277,72.021
0.756,0.107,-0.261,75.989,-8.972,65.186
0.731,0.097,-0.202,75.378,-8.240,58.655
0.717,0.110,-0.137,70.801,-6.348,52.185
0.718,0.131,-0.086,66.956,-4.639,45.593
0.714,0.157,-0.069,65.063,-3.357,38.696
0.708,0.170,-0.087,64.392,-3.723,31.189
0.681,0.196,-0.124,60.547,-4.089,22.278
0.654,0.254,-0.149,52.612,-3.540,12.756
0.642,0.283,-0.193,43.518,-2.625,4.272
0.660,0.264,-0.244,37.476,-1.038,-3.113
0.714,0.201,-0.286,34.119,0.732,-9.155
0.770,0.124,-0.320,35.400,1.465,-16.174
0.816,0.057,-0.325,37.415,2.075,-23.987
0.852,0.028,-0.296,35.339,2.686,-32.715
0.879,0.043,-0.248,30.457,3.296,-43.457
0.902,0.103,-0.169,25.818,6.409,-55.115
0.984,0.299,-0.065,21.301,13.000,-67.261
1.172,0.625,-0.026,19.409,17.456,-76.843
1.477,0.930,-0.072,13.672,20.447,-77.881
1.769,1.141,-0.057,-8.423,23.315,-68.054
1.818,1.177,-0.002,-44.250,6.958,-50.171
1.480,0.980,-0.045,-71.899,-26.672,-41.260
1.125,0.754,-0.153,-80.872,-49.133,-44.067
0.946,0.555,-0.227,-85.815,-46.021,-49.011
0.859,0.362,-0.258,-89.722,-33.936,-52.917
0.754,0.184,-0.233,-90.942,-30.334,-55.908
0.644,0.116,-0.145,-83.191,-29.968,-62.195
0.574,0.225,-0.094,-61.584,-29.297,-65.063
0.525,0.370,-0.116,-40.955,-31.555,-53.833
0.477,0.498,-0.153,-40.710,-35.583,-36.560
0.419,0.598,-0.243,-51.514,-39.734,-21.729
0.355,0.670,-0.352,-56.946,-40.222,-10.498
0.328,0.734,-0.420,-52.795,-32.532,-1.770
0.440,0.790,-0.468,-40.710,-16.785,5.615
0.693,0.763,-0.413,-24.902,2.930,9.766
0.942,0.650,-0.254,-12.024,17.517,5.676
1.040,0.496,-0.131,-4.822,17.700,-5.188
1.013,0.330,-0.069,-4.028,7.019,-16.907
0.944,0.242,-0.061,-7.202,-1.831,-26.550
0.882,0.240,-0.073,-11.841,-4.639,-31.860
