aX,aY,aZ,gX,gY,gZ
0.394,-1.377,0.211,56.396,-22.278,-9.888
0.147,-1.197,-0.783,33.813,-59.937,-48.767
-0.247,-0.597,-1.210,9.155,-28.748,-81.482
0.214,-0.570,-0.584,-13.672,70.190,-83.679
1.245,-0.099,0.141,-38.208,152.832,-88.013
2.079,0.325,0.666,-63.538,152.405,-87.891
2.171,-0.217,0.836,-66.895,69.214,-76.660
1.914,-1.123,0.328,-52.917,-37.170,-85.144
2.158,-1.439,-0.544,-70.435,-72.571,-142.395
3.262,-0.201,-0.615,-72.998,-3.601,-211.670
4.000,0.885,0.008,-29.114,69.397,-232.056
4.000,1.037,1.201,-28.809,49.133,-237.610
1.379,0.897,1.294,-57.800,-92.346,-219.238
-0.043,-0.479,-0.171,-29.114,-248.596,-204.956
-0.813,-1.941,-2.093,-34.546,-204.468,-227.051
-0.226,-2.454,-1.776,-96.924,14.282,-300.171
1.557,-2.604,-0.261,-96.985,223.450,-334.229
2.887,-2.963,1.758,-65.430,299.133,-341.370
2.533,-2.357,2.319,-22.095,177.124,-352.234
0.973,-1.045,0.814,-15.442,-29.724,-360.168
-0.592,-0.497,0.261,-15.381,-125.549,-332.153
-1.603,-0.523,0.007,8.667,-142.273,-294.189
-1.746,-0.483,-0.411,36.255,-117.615,-281.494
-1.329,-0.416,-0.695,64.209,-69.153,-288.635
-0.777,-0.257,-0.718,66.895,-15.076,-290.466
-0.198,-0.261,-0.672,27.710,31.738,-267.456
1.156,-1.544,0.697,-9.521,79.590,-184.875
1.206,-1.620,0.958,38.025,37.170,-173.645
0.675,-0.983,0.709,64.514,-29.541,-181.702
0.256,-0.311,0.289,50.659,-72.266,-192.993
-0.031,0.069,-0.041,20.569,-84.839,-194.153
-0.467,0.034,-0.285,5.981,-79.346,-175.171
-0.778,-0.363,-0.442,11.658,-68.298,-149.109
-0.929,-0.966,-0.477,41.565,-52.368,-129.395
-1.034,-1.672,-0.385,97.595,-32.227,-118.225
-0.953,-2.580,-0.076,162.598,-0.122,-107.788
-0.656,-3.490,0.226,210.510,24.536,-103.271
-0.578,-4.000,0.332,251.648,4.639,-108.459
-0.702,-4.000,0.198,272.156,-40.161,-111.816
-0.860,-3.858,-0.239,246.887,-72.998,-108.276
-1.029,-3.258,-0.893,237.732,-92.712,-103.333
-1.203,-2.452,-1.307,234.497,-88.135,-93.445
-1.253,-1.701,-1.158,198.120,-48.950,-72.571
-1.035,-1.234,-0.748,141.235,2.625,-50.903
-0.713,-1.015,-0.364,81.421,45.044,-43.945
-0.335,-0.879,-0.100,34.180,69.153,-52.979
0.036,-0.795,0.041,11.475,74.402,-61.707
0.269,-0.751,0.020,8.606,64.575,-63.354
0.276,-0.657,-0.094,10.376,47.180,-59.021
0.150,-0.547,-0.158,4.395,29.968,-50.110
-0.070,-0.501,-0.126,-10.498,10.437,-33.142
-0.382,-0.529,-0.245,-19.531,-10.193,-12.512
-0.672,-0.677,-0.447,-12.329,-15.625,1.770
-0.788,-0.788,-0.503,4.028,0.122,2.197
-0.654,-0.772,-0.513,18.494,23.926,-9.888
-0.360,-0.670,-0.447,23.315,46.021,-27.039
-0.066,-0.577,-0.297,21.790,59.570,-40.039
0.109,-0.511,-0.260,16.846,58.655,-44.128
0.082,-0.463,-0.291,7.263,46.448,-38.330
-0.070,-0.459,-0.263,-7.141,31.067,-24.292
-0.245,-0.577,-0.266,-22.217,13.855,-4.639
-0.415,-0.819,-0.297,-32.654,-0.488,14.343
-0.556,-1.001,-0.367,-32.654,-7.874,25.635
-0.586,-1.155,-0.472,-18.555,-5.615,30.457
-0.453,-1.302,-0.440,-2.625,6.104,30.090
-0.241,-1.424,-0.220,6.836,13.367,25.024
-0.096,-1.324,-0.208,12.390,4.456,20.081
-0.118,-1.235,-0.279,12.573,-3.662,22.705
-0.235,-1.159,-0.165,3.235,-1.343,27.771
-0.263,-1.086,-0.132,-6.226,-2.319,31.433
-0.302,-0.857,-0.192,-11.292,-8.850,31.677
-0.243,-0.924,-0.333,-10.559,-12.451,33.569
-0.233,-0.833,-0.384,-13.428,-7.690,27.954
-0.213,-0.816,-0.278,-10.376,-1.892,28.442
-0.224,-0.694,-0.242,-8.362,-1.343,31.067
-0.284,-0.553,-0.247,-3.113,-1.648,39.917
-0.226,-0.698,-0.283,2.869,1.892,56.885
-0.217,-0.780,-0.377,0.000,5.127,64.575
-0.197,-0.853,-0.334,1.709,9.888,71.045
-0.113,-0.943,-0.309,8.179,10.925,74.768
-0.050,-0.949,-0.272,17.639,9.338,71.838
0.004,-0.937,-0.235,29.175,7.874,68.726
0.050,-0.927,-0.193,40.039,5.493,66.956
0.073,-0.868,-0.164,46.326,1.587,67.993
0.097,-0.854,-0.292,49.683,-0.854,73.547
0.071,-0.956,-0.424,48.157,7.446,80.688
0.072,-1.094,-0.353,39.978,23.621,85.754
0.208,-1.197,-0.215,30.273,30.823,86.670
0.389,-1.247,-0.120,27.039,25.391,80.872
0.367,-1.195,-0.098,27.771,8.545,68.970
0.277,-1.106,-0.145,30.823,-8.545,56.519
0.258,-1.028,-0.219,44.312,-19.104,47.546
0.316,-0.915,-0.046,62.622,-25.574,36.011
