aX,aY,aZ,gX,gY,gZ
-0.146,1.172,-0.518,4.395,51.331,9.094
0.115,0.987,-0.414,-41.382,85.571,18.555
0.558,1.351,-0.563,-77.942,92.346,12.268
1.014,2.534,-0.635,-60.486,91.492,-1.526
1.743,4.000,-0.367,-10.864,131.897,5.249
4.000,4.000,0.437,44.922,213.196,35.889
4.000,4.000,3.474,136.475,201.355,216.125
3.729,0.053,-0.374,471.436,-92.834,605.530
3.022,-4.000,-1.683,586.914,-237.366,576.294
1.946,-3.723,-0.200,572.937,-187.073,308.167
1.096,-2.985,-1.562,575.378,-258.179,212.585
0.798,-0.958,-3.372,519.897,-270.203,176.392
1.214,-0.628,-1.053,447.021,-155.457,260.620
2.081,-0.088,0.870,327.759,-98.083,317.078
1.681,1.062,-0.432,265.137,-159.424,362.854
1.411,0.627,-0.780,252.319,-179.016,429.382
1.502,0.155,0.791,194.580,-138.428,460.144
1.222,0.249,0.804,171.021,-154.236,448.486
1.229,0.266,0.811,184.082,-173.767,422.058
0.963,-0.185,1.213,178.467,-195.190,386.719
0.017,-0.189,1.091,149.353,-233.276,338.501
-0.715,-0.105,0.748,139.893,-260.742,286.682
-1.001,0.084,0.707,136.353,-266.602,236.633
-0.803,0.331,0.833,125.000,-262.268,194.458
-0.725,0.263,0.893,119.263,-259.094,162.781
-0.750,-0.067,0.784,108.948,-252.808,140.564
-0.634,-0.270,0.827,79.285,-234.619,126.099
-0.671,0.035,0.994,33.203,-211.853,123.596
-0.784,0.637,1.301,-7.874,-187.439,122.437
-0.829,0.889,1.692,-34.485,-163.757,110.718
-0.995,1.102,1.851,-43.762,-150.879,86.243
-1.317,1.272,1.564,-32.043,-147.522,62.561
-1.605,1.127,1.257,-11.047,-140.747,44.922
-1.706,1.019,1.041,4.822,-128.113,32.349
-1.735,0.904,0.681,9.155,-109.558,26.184
-1.734,0.811,0.451,4.456,-81.787,23.376
-1.562,0.652,0.479,-5.676,-48.828,21.667
-1.394,0.440,0.408,-22.034,-21.301,14.648
-1.283,0.224,0.095,-33.813,1.770,0.854
-1.232,-0.191,-0.271,-42.053,28.381,-15.381
-1.016,-0.571,-0.098,-47.485,60.242,-36.316
-0.698,-0.610,0.460,-53.772,79.285,-62.012
-0.411,-0.381,0.638,-64.941,80.322,-85.449
-0.174,-0.044,0.549,-76.782,79.163,-95.886
