aX,aY,aZ,gX,gY,gZ
1.504,0.527,0.320,-36.682,1.099,-138.184
1.323,0.131,0.100,-42.297,-35.095,-131.653
1.182,-0.027,-0.029,-19.470,-49.683,-146.545
1.511,0.026,-0.178,8.118,-38.330,-168.640
2.319,0.245,-0.154,11.047,-4.028,-189.514
2.913,0.398,0.407,0.793,17.639,-196.899
2.939,0.668,0.705,1.770,-2.625,-212.646
3.125,0.592,0.483,19.165,-30.029,-231.140
3.338,-0.100,0.237,17.578,-24.597,-246.704
2.777,-1.549,-0.197,-9.094,2.991,-256.226
1.926,-2.841,-0.176,-108.765,53.650,-292.175
1.572,-3.891,0.510,-157.593,101.379,-339.661
0.890,-3.551,0.860,-46.204,64.331,-376.465
0.030,-2.175,0.684,108.521,-23.865,-399.231
-0.767,-1.138,0.632,177.185,-79.895,-397.278
-1.602,-0.731,0.525,148.132,-98.083,-372.070
-2.005,-0.669,0.005,87.158,-104.736,-357.300
-1.795,-0.662,-0.674,52.368,-82.581,-350.403
-1.249,-0.499,-1.059,27.344,-24.841,-317.139
-0.457,-0.690,-0.777,-6.470,54.749,-253.662
0.746,-1.239,-0.000,-48.523,126.282,-192.566
2.068,-1.471,0.715,-75.500,153.137,-167.236
2.746,-1.282,0.977,-68.604,107.544,-156.555
1.999,-0.609,0.912,-55.115,-2.136,-145.874
0.661,-0.245,0.649,-37.964,-110.413,-132.935
-0.313,0.042,0.091,-18.799,-157.349,-131.592
-0.965,0.104,-0.525,-4.089,-137.634,-138.977
-0.969,0.035,-0.667,2.686,-69.824,-150.208
-0.449,-0.416,-0.384,35.889,-0.183,-149.780
0.006,-1.050,0.324,99.426,36.865,-141.357
0.223,-1.652,0.781,171.265,26.550,-135.376
-0.063,-2.240,0.464,248.657,-20.935,-130.371
-0.506,-2.801,-0.204,296.753,-63.782,-122.742
-0.886,-3.100,-0.668,282.043,-77.393,-109.497
-1.173,-3.219,-0.815,255.432,-66.711,-82.275
-1.376,-3.290,-0.714,262.207,-55.847,-52.673
-1.547,-3.024,-0.605,283.508,-57.983,-49.927
-1.297,-2.401,-0.505,262.207,-43.030,-65.002
-0.742,-1.854,-0.420,196.167,-14.832,-69.275
-0.247,-1.642,-0.428,136.597,9.888,-55.786
0.036,-1.417,-0.370,83.923,26.978,-40.955
0.192,-1.272,-0.419,14.832,29.968,-24.780
0.477,-1.430,-0.254,-49.377,37.842,-17.395
0.149,-1.111,0.199,-87.219,29.785,-33.875
-0.174,-0.834,0.211,-62.073,5.188,-48.828
-0.612,-0.561,0.053,-18.738,-15.137,-65.125
-0.705,-0.475,-0.243,24.292,-25.879,-76.111
-0.873,-0.302,-0.743,56.519,-16.296,-79.773
-0.526,-0.655,-0.716,63.232,21.240,-66.772
-0.185,-0.815,-0.572,41.809,48.218,-59.326
-0.024,-1.022,-0.437,18.799,51.331,-50.476
-0.072,-1.249,-0.341,3.540,42.908,-36.621
-0.213,-1.430,-0.166,6.836,37.048,-23.987
-0.299,-1.452,-0.076,21.179,36.438,-23.010
-0.314,-1.288,-0.220,22.522,32.104,-32.471
-0.294,-1.047,-0.455,9.949,29.419,-40.955
-0.257,-0.834,-0.568,-2.258,36.499,-39.429
-0.170,-0.687,-0.423,-10.681,48.584,-28.625
-0.141,-0.556,-0.230,-11.963,52.551,-13.245
-0.076,-0.564,-0.209,-6.714,44.373,5.676
0.006,-0.716,-0.267,-5.798,30.457,20.630
0.003,-0.932,-0.292,-12.085,14.343,26.855
-0.106,-1.156,-0.268,-21.545,-1.160,30.457
-0.297,-1.300,-0.263,-28.381,-9.705,34.790
-0.453,-1.398,-0.197,-31.616,-5.493,37.354
-0.512,-1.336,-0.134,-33.630,7.141,34.912
-0.486,-1.206,-0.086,-33.936,20.996,30.762
-0.408,-1.040,-0.106,-33.630,27.893,27.039
-0.340,-0.899,-0.164,-33.691,27.527,25.574
-0.300,-0.780,-0.271,-37.048,21.790,27.527
-0.286,-0.713,-0.384,-44.739,14.893,33.081
-0.298,-0.709,-0.437,-54.382,12.390,41.748
-0.277,-0.763,-0.425,-60.730,16.235,50.964
-0.240,-0.832,-0.364,-58.167,24.231,59.570
-0.221,-0.876,-0.259,-47.424,35.217,65.979
-0.178,-0.936,-0.163,-34.302,45.288,70.618
-0.141,-1.125,-0.034,-25.330,50.049,74.219
-0.167,-1.043,0.115,-23.865,44.495,74.829
-0.094,-1.121,0.008,-22.278,32.837,77.820
-0.084,-1.127,-0.035,-26.245,29.053,77.271
-0.018,-1.151,0.002,-28.809,28.381,77.454
0.036,-1.127,-0.087,-35.278,20.813,72.754
0.013,-1.086,-0.195,-43.213,12.329,71.106
-0.059,-1.032,-0.240,-52.979,6.470,73.425
-0.115,-0.997,-0.189,-53.772,6.348,79.346
-0.134,-0.982,-0.079,-40.100,9.155,85.327
-0.099,-0.999,0.002,-17.090,9.827,88.562
-0.072,-1.010,-0.022,4.944,8.545,81.665
-0.042,-0.989,-0.087,22.583,11.230,65.735
0.033,-0.924,-0.132,32.227,18.372,45.105
0.135,-0.814,-0.193,29.602,24.597,24.841
0.239,-0.720,-0.308,17.029,25.818,10.132
0.318,-0.612,-0.408,-0.671,22.278,2.625
0.347,-0.544,-0.411,-14.099,12.085,6.042
0.294,-0.571,-0.323,-11.963,-2.441,22.705
0.193,-0.759,-0.188,12.939,-10.559,47.241
0.089,-1.034,-0.030,56.641,-5.615,69.763
0.115,-1.276,0.102,107.849,10.742,76.904
0.316,-1.363,0.111,138.794,22.644,63.232
0.532,-1.380,-0.051,126.831,12.451,37.354
0.750,-1.471,-0.318,77.881,-14.465,11.047
0.847,-1.666,-0.500,10.559,-42.542,-11.841
0.778,-1.885,-0.465,-42.175,-58.594,-25.269
0.569,-1.973,-0.132,-45.288,-53.040,-25.269
0.419,-1.765,0.213,-7.385,-28.748,-20.752
0.449,-1.377,0.474,0.366,-6.836,-17.944
0.444,-1.039,0.502,-40.039,-10.193,-16.602
0.333,-0.856,0.314,-71.594,-37.231,-15.503
0.206,-0.810,0.035,-74.402,-67.078,-17.273
0.119,-0.776,-0.171,-57.556,-79.956,-23.987
0.118,-0.715,-0.262,-30.334,-71.716,-35.095
0.237,-0.425,-0.407,20.813,-40.039,-62.256
0.282,-0.227,-0.455,43.701,-25.879,-67.139
0.257,-0.094,-0.420,65.125,-12.634,-60.059
0.193,-0.103,-0.326,76.233,-3.235,-42.969
0.142,-0.178,-0.219,69.641,0.854,-22.156
0.125,-0.226,-0.094,54.138,0.977,-3.418
0.202,-0.287,-0.078,42.297,-1.343,10.742
0.323,-0.362,-0.032,35.645,-1.160,19.165

-0.251,-1.478,-0.343,39.551,-9.216,33.142
-0.177,-1.490,-0.353,39.734,4.761,20.386
-0.019,-1.400,-0.386,36.377,19.287,3.479
0.179,-1.175,-0.399,35.339,30.334,-12.634
0.320,-0.905,-0.379,42.725,35.217,-26.123
0.395,-0.669,-0.339,51.880,32.532,-31.677
0.426,-0.528,-0.292,54.871,25.513,-28.992
0.405,-0.534,-0.280,50.476,16.174,-18.066
0.328,-0.635,-0.283,45.105,8.789,-4.578
0.226,-0.885,-0.162,47.119,4.761,9.949
0.155,-1.242,-0.160,51.575,-1.526,21.667
0.064,-1.567,-0.146,45.959,-4.211,22.583
0.012,-1.770,-0.081,36.682,-3.540,16.968
-0.036,-1.854,-0.040,35.950,-6.958,7.446
-0.100,-1.739,-0.073,35.522,-14.282,-6.470
-0.108,-1.426,-0.123,28.931,-19.653,-21.484
-0.071,-1.118,-0.222,19.348,-17.700,-31.189
0.011,-0.770,-0.266,5.066,-9.949,-35.339
0.129,-0.465,-0.374,-2.563,-2.747,-32.471
0.201,-0.319,-0.486,-4.517,0.549,-22.766
0.233,-0.380,-0.509,-2.991,3.723,-9.827
0.229,-0.538,-0.464,-3.052,5.432,1.831
0.191,-0.701,-0.375,-9.338,6.409,11.108
0.136,-0.847,-0.284,-17.212,8.972,17.151
0.087,-1.078,-0.242,-20.508,13.672,18.921
0.032,-1.129,-0.249,-18.799,21.057,13.733
0.057,-1.197,-0.264,-8.911,29.785,12.207
0.115,-1.175,-0.311,3.601,33.630,11.353
0.132,-1.157,-0.351,15.198,30.518,12.817
0.131,-1.199,-0.370,23.010,25.635,15.198
0.121,-1.265,-0.343,23.193,21.179,15.869
0.114,-1.306,-0.298,16.785,18.372,14.832
0.109,-1.295,-0.275,7.080,17.883,11.841
0.135,-1.226,-0.287,-5.371,19.226,6.653
0.181,-1.101,-0.304,-20.264,21.362,0.549
0.238,-0.972,-0.331,-32.288,21.790,-3.967
0.273,-0.847,-0.394,-39.795,18.127,-6.897
0.267,-0.744,-0.473,-44.739,11.108,-6.714
0.234,-0.674,-0.517,-47.546,4.883,-4.150
0.193,-0.654,-0.507,-45.166,1.770,-0.549
0.154,-0.702,-0.480,-36.621,0.610,4.028
0.130,-0.761,-0.441,-24.963,0.916,7.751
0.118,-0.808,-0.400,-11.780,1.770,9.766
0.130,-0.854,-0.375,0.916,2.930,10.803
0.152,-0.888,-0.364,9.705,3.540,9.277
0.185,-0.905,-0.354,13.489,4.211,7.324
0.220,-0.913,-0.341,14.465,4.333,6.470
0.256,-0.953,-0.376,14.893,3.479,6.470
0.266,-0.978,-0.426,16.296,3.784,7.080
0.279,-1.002,-0.416,17.578,5.554,8.545
0.257,-1.017,-0.402,16.357,4.944,8.423
0.220,-1.022,-0.395,13.062,2.930,6.836
0.180,-1.029,-0.392,8.972,1.892,5.066
0.165,-1.014,-0.381,4.883,3.052,2.441
0.179,-0.992,-0.366,1.343,5.066,-0.183
0.190,-0.977,-0.360,-1.343,6.287,-2.258
0.198,-0.958,-0.344,-3.296,6.897,-4.150
0.203,-0.934,-0.323,-4.700,7.202,-6.226
0.198,-0.921,-0.318,-4.639,6.531,-8.240
0.179,-0.932,-0.326,-3.174,5.676,-10.742
0.178,-0.945,-0.320,-2.136,6.226,-13.794
0.176,-0.955,-0.315,-0.793,6.958,-16.296
0.167,-0.964,-0.314,2.014,6.897,-18.188
0.163,-0.968,-0.313,5.432,6.409,-19.348
0.153,-0.968,-0.321,8.911,6.104,-20.203
0.174,-0.945,-0.300,12.207,6.104,-20.752
0.196,-0.917,-0.282,14.526,3.784,-19.653
0.170,-0.924,-0.307,18.433,-1.343,-17.273
0.149,-0.944,-0.328,21.545,-4.700,-15.320
0.119,-0.958,-0.360,22.583,-5.981,-14.221
0.086,-0.966,-0.384,21.973,-4.578,-14.099
0.083,-0.973,-0.390,19.592,-1.404,-14.465
0.092,-0.984,-0.404,15.442,1.526,-14.587
0.109,-0.996,-0.418,10.559,2.930,-13.794
0.128,-1.000,-0.421,5.188,1.953,-13.000
0.137,-0.983,-0.396,0.610,0.000,-11.597
0.109,-0.978,-0.374,-1.038,-2.197,-9.521
0.059,-0.990,-0.354,0.427,-3.113,-7.507
0.040,-0.974,-0.328,2.380,-2.441,-5.737
0.027,-0.964,-0.318,3.601,-1.465,-3.784
0.069,-0.937,-0.330,8.118,1.587,-1.953
0.105,-0.945,-0.366,10.864,2.563,-2.075
0.124,-0.942,-0.373,7.263,2.808,-1.282
0.072,-0.955,-0.370,6.042,3.296,-0.977
0.069,-0.935,-0.355,6.714,3.479,-1.221
0.081,-0.932,-0.354,9.094,2.502,0.122
0.086,-0.936,-0.362,11.536,0.732,1.831
0.094,-0.950,-0.373,12.146,0.671,3.113
0.101,-0.965,-0.383,11.414,1.404,3.601
0.111,-0.958,-0.380,10.620,2.502,3.296
0.117,-0.947,-0.382,11.414,2.319,3.174
0.117,-0.947,-0.395,12.512,1.404,2.563
0.112,-0.951,-0.403,12.451,0.671,1.343
0.108,-0.960,-0.408,10.864,0.549,0.610
0.108,-0.970,-0.409,8.850,0.610,0.000
0.101,-0.969,-0.411,7.324,0.610,0.244
0.099,-0.965,-0.412,5.432,0.122,0.854
0.091,-0.972,-0.417,2.869,-0.061,1.648
0.112,-0.959,-0.406,0.244,0.610,1.770
0.118,-0.953,-0.405,-2.563,1.343,1.709
0.109,-0.950,-0.408,-4.395,1.587,1.160
0.101,-0.944,-0.405,-6.165,1.648,0.977
0.096,-0.936,-0.400,-8.301,0.977,1.404
0.087,-0.948,-0.396,-9.155,-1.343,2.747
0.084,-0.954,-0.383,-9.399,-3.296,5.005
0.092,-0.952,-0.370,-8.545,-4.395,7.568
0.104,-0.953,-0.367,-6.470,-5.249,9.399
0.117,-0.958,-0.377,-4.150,-5.554,10.376
0.126,-0.957,-0.393,-2.869,-5.249,10.193
0.134,-0.948,-0.398,-3.540,-4.883,8.728
0.140,-0.937,-0.393,-5.554,-3.784,6.165
0.137,-0.931,-0.389,-11.047,-0.854,-0.366
0.120,-0.945,-0.383,-13.489,0.183,-2.747
0.114,-0.955,-0.370,-15.381,0.977,-3.662
0.106,-0.961,-0.356,-14.954,0.610,-3.601
0.102,-0.958,-0.348,-13.062,0.305,-3.113
0.102,-0.954,-0.346,-10.559,-0.061,-2.319
0.106,-0.951,-0.346,-7.812,-0.244,-1.343
0.107,-0.947,-0.357,-5.798,-0.488,-0.732

