aX,aY,aZ,gX,gY,gZ
0.702,-0.737,0.641,-28.564,36.499,-33.325
0.740,-0.670,0.438,-51.147,10.742,-44.067
0.778,-0.595,0.216,-86.121,-4.639,-51.819
0.778,-0.549,0.044,-120.544,-13.428,-56.519
0.741,-0.490,-0.086,-147.583,-17.639,-60.852
0.713,-0.374,-0.190,-169.006,-16.479,-64.819
0.708,-0.292,-0.279,-178.894,-15.198,-63.904
0.711,-0.259,-0.234,-183.533,-11.108,-58.411
0.698,-0.214,-0.144,-182.678,-8.972,-53.894
0.640,-0.300,0.009,-186.401,-7.385,-48.950
0.773,-0.165,-0.170,-207.764,3.601,-40.222
0.871,0.489,0.047,-219.177,-12.573,-41.504
0.764,0.750,0.046,-227.661,-38.635,-33.997
0.532,0.922,-0.209,-229.736,-55.054,-28.992
0.074,0.824,-0.454,-202.515,-47.241,-33.508
0.298,0.344,-0.266,-157.043,-10.986,-38.757
0.500,-0.018,-0.048,-105.103,14.038,-36.072
0.424,0.138,-0.197,-45.776,6.165,-45.593
0.323,0.299,-0.315,-37.170,2.808,-46.936
0.244,0.252,-0.227,-56.152,3.052,-30.579
0.162,0.543,-0.345,-95.093,7.935,-11.841
0.047,0.870,-0.640,-103.760,18.616,-10.437
-0.112,0.970,-0.620,-97.229,39.429,-20.874
-0.225,0.818,-0.160,-77.393,70.374,-27.893
-0.182,0.772,0.184,-55.664,83.618,-24.963
0.161,0.780,0.193,-42.542,75.745,-23.865
0.501,0.731,-0.081,-24.231,63.538,-17.395
0.798,0.454,0.096,6.897,62.012,0.000
0.920,0.283,-0.007,13.855,58.960,15.137
0.808,0.161,-0.130,-5.127,59.204,28.442
0.557,0.321,-0.286,-31.006,62.866,47.424
0.112,0.867,-0.540,-47.607,67.688,69.153
-0.511,2.011,-0.799,-45.959,76.172,93.079
-0.951,3.564,-1.192,-22.766,86.792,107.239
0.408,4.000,-2.270,34.546,87.219,110.535
1.228,3.191,-2.609,136.780,89.966,186.523
3.437,2.206,-0.650,195.557,139.099,245.117
4.000,-0.393,-1.018,208.862,135.498,186.462
