aX,aY,aZ,gX,gY,gZ
0.687,0.692,-0.318,47.241,69.641,-5.554
0.436,0.664,-0.373,8.911,47.668,9.949
0.122,0.793,-0.299,-14.16,34.668,30.64
-0.077,1.048,-0.286,-7.446,38.818,47.729
0.103,0.972,-0.54,23.071,61.951,56.946
0.318,0.603,-0.947,54.688,84.717,67.383
0.286,0.719,-0.83,58.289,84.839,76.66
0.783,0.783,-1.594,50.171,64.697,70.74
2.384,1.374,-1.595,75.806,49.011,47.729
4.0,1.386,-0.979,119.507,42.175,46.448
4.0,1.731,-2.196,80.933,48.706,-19.836
4.0,2.744,-4.0,178.772,55.359,-194.702
4.0,3.77,0.197,546.082,31.921,-115.112
3.735,0.999,0.61,516.113,-1.77,219.971
-0.214,-1.286,0.19,159.424,-106.262,236.145
-1.3,-1.662,0.945,-107.178,-102.417,158.325
-1.659,-0.421,-0.622,-160.217,-122.986,134.155
-0.325,0.266,-0.825,-95.215,-80.383,150.574
0.397,1.185,-0.468,-6.836,-14.954,100.22
1.101,2.762,-0.112,58.533,22.583,18.188
2.029,3.365,-0.108,121.704,41.443,-12.085
2.052,2.061,-0.031,175.781,10.132,24.17
1.333,0.746,-0.243,168.518,-29.785,87.158
1.11,-0.477,-0.251,147.888,-26.794,151.062
0.991,-0.918,-0.165,133.362,1.709,177.368
1.116,-0.726,-0.04,106.628,38.147,160.278
1.313,-0.219,-0.067,65.674,58.777,115.906
1.307,-0.083,0.046,20.996,67.261,85.144
1.195,-0.306,0.196,-30.151,64.392,76.111
0.911,-0.262,0.051,-78.735,41.565,69.763
0.607,0.158,-0.075,-92.651,22.339,69.153
0.529,0.479,-0.068,-71.167,24.78,77.026
0.639,0.851,0.083,-51.392,41.687,78.125
0.608,1.285,0.032,-42.053,44.373,79.102
0.56,1.445,-0.048,-19.409,36.987,89.783
0.367,1.496,-0.155,5.554,28.076,95.825
0.221,1.38,-0.267,27.832,25.33,96.619
0.278,1.114,-0.207,51.697,31.372,92.407
0.345,0.859,-0.091,71.899,37.231,79.712
0.502,0.661,0.006,85.754,42.175,66.65
0.874,0.099,0.042,92.834,47.485,61.462
0.796,-0.028,-0.017,75.012,39.49,50.293
0.602,-0.016,-0.055,61.829,31.311,53.406
0.726,0.082,0.032,57.007,30.579,65.43
0.588,0.666,-0.019,42.236,24.231,74.585
0.582,0.795,-0.082,24.658,10.986,90.576
0.663,0.712,-0.237,8.484,7.019,96.619
0.652,0.65,-0.394,-10.071,10.498,91.98
0.754,0.752,-0.346,-20.325,23.804,81.604
0.747,1.036,-0.116,-15.198,32.349,73.853
0.62,1.228,0.106,-6.042,28.381,78.613
0.448,1.177,0.103,-2.319,18.494,91.064
0.358,1.085,-0.12,-0.488,7.935,97.595
0.364,0.924,-0.36,6.775,-0.488,94.91
0.398,0.564,-0.453,12.878,-7.019,85.449
0.422,0.235,-0.393,-1.282,-8.057,71.594
0.466,0.245,-0.244,-35.95,1.282,58.96
0.486,0.571,-0.101,-68.237,18.25,52.551
0.535,1.047,0.005,-80.688,33.997,53.04
0.643,1.417,0.037,-76.721,39.063,55.969
0.637,1.485,-0.031,-61.401,31.555,57.678
0.505,1.28,-0.161,-43.823,20.447,56.702
0.238,0.994,-0.285,-31.25,12.878,51.575
-0.088,0.778,-0.37,-19.714,13.672,44.25
-0.195,0.727,-0.411,-4.883,25.635,38.147
0.016,0.708,-0.346,5.31,37.72,41.504
0.413,0.591,-0.332,-3.54,42.847,48.401
0.919,0.642,-0.257,-22.339,50.659,41.504
1.374,1.017,-0.095,-39.917,54.016,22.217
1.439,1.253,-0.079,-51.575,35.645,3.235
1.162,1.313,-0.216,-44.373,11.23,-4.456
0.89,1.301,-0.334,-27.466,-4.944,-3.662
0.713,1.126,-0.357,-13.733,-14.465,-1.16
0.418,0.911,-0.342,-3.967,-19.714,-1.16
0.245,0.637,-0.304,1.404,-18.86,-2.38
0.076,0.529,-0.279,-0.732,-15.503,-2.686
-0.004,0.515,-0.296,-10.071,-12.512,0.122
0.124,0.637,-0.224,-16.663,-1.892,3.845
0.383,0.793,-0.171,-20.264,9.094,5.31
0.62,0.827,-0.142,-24.109,13.794,5.676
0.701,0.841,-0.174,-25.757,12.268,4.333
0.744,0.788,-0.214,-21.851,6.287,5.493
0.732,0.715,-0.251,-16.357,-0.488,9.216
0.636,0.665,-0.272,-16.113,-3.723,11.414
0.514,0.677,-0.281,-22.827,-2.808,12.451
0.464,0.738,-0.286,-28.687,-0.305,14.465
0.479,0.774,-0.298,-29.907,3.052,16.357
0.454,0.875,-0.332,-28.87,4.639,18.799
0.423,0.926,-0.343,-26.794,2.563,20.996
0.438,0.884,-0.357,-22.156,2.014,20.203
0.442,0.906,-0.368,-18.311,3.235,16.907
0.445,0.945,-0.36,-15.747,2.258,14.099
0.478,0.954,-0.339,-12.573,0.916,10.864
0.525,0.953,-0.313,-5.493,0.305,7.568
0.544,0.913,-0.297,1.526,-2.502,5.676
0.505,0.854,-0.295,3.784,-6.958,4.578
0.463,0.78,-0.295,4.395,-9.216,3.967
0.435,0.723,-0.285,3.174,-9.277,3.357
0.406,0.708,-0.261,-0.732,-8.24,2.197
0.388,0.74,-0.242,-5.798,-6.165,2.014
0.393,0.807,-0.248,-9.46,-3.418,2.502
0.427,0.861,-0.275,-11.353,-0.732,3.784
0.488,0.976,-0.286,-10.62,2.014,4.395
0.471,0.905,-0.355,-8.179,-0.427,5.188
0.416,0.945,-0.402,-5.249,-2.93,4.333
0.445,0.945,-0.368,-4.028,-0.122,-1.587
0.433,0.932,-0.405,-5.371,-4.456,-4.15
0.405,0.92,-0.423,-4.333,-9.888,-6.226
0.434,0.937,-0.385,-1.099,-8.911,-9.949
0.473,0.96,-0.36,1.587,-8.667,-11.841
0.503,0.949,-0.337,5.676,-9.644,-12.878
0.521,0.923,-0.298,10.01,-10.62,-15.015
0.497,0.932,-0.285,10.864,-11.78,-16.479
0.517,0.867,-0.27,10.559,-12.146,-15.93
0.555,0.773,-0.266,16.235,-8.789,-18.616
0.557,0.745,-0.259,21.179,-5.981,-24.048
0.536,0.756,-0.262,20.935,-5.737,-25.94
0.532,0.777,-0.26,20.325,-5.859,-23.804
-0.879,-0.04,-1.081,66.101,-46.204,-63.538
-0.958,-0.733,-0.621,67.688,0.549,-48.096
-0.678,-1.809,-0.084,62.622,48.584,-34.546
-0.255,-2.593,0.422,51.025,87.402,-46.814
-0.312,-2.393,0.372,37.72,72.693,-103.149
-0.501,-1.308,-0.224,23.315,31.25,-177.917
-0.425,-0.241,-0.745,3.54,28.259,-216.003
-0.057,0.207,-0.641,-23.743,67.993,-204.651
0.316,0.213,-0.23,-44.067,101.257,-179.626
1.129,0.193,0.055,-51.392,117.737,-169.556
2.615,0.036,0.367,-45.959,142.456,-163.269
3.938,-0.471,1.309,-17.761,173.828,-157.776
4.0,-0.36,2.066,23.499,157.837,-185.852
4.0,-0.454,1.486,65.43,56.58,-230.835
3.073,-0.011,0.12,89.783,-59.57,-254.822
2.471,-1.989,-1.203,57.983,-74.829,-227.6
1.873,-2.508,-1.438,-93.018,18.86,-264.343
2.27,-3.438,-0.768,-87.097,156.189,-272.705
2.337,-3.5,1.206,74.707,236.877,-263.855
1.179,-3.214,2.301,171.448,177.856,-271.851
-0.047,-2.189,1.314,104.004,23.926,-317.688
-0.964,-2.108,-0.101,46.753,-80.627,-325.562
-1.613,-1.951,-0.746,24.17,-80.139,-314.392
-1.558,-1.995,-0.642,23.743,-27.039,-294.434
-1.235,-1.932,-0.353,10.315,7.263,-281.921
-0.907,-1.58,-0.414,-1.221,6.47,-281.006
-0.294,-1.148,-0.501,4.761,13.672,-274.902
0.473,-0.751,-0.301,26.306,48.218,-255.066
1.197,-0.387,0.07,49.194,87.097,-225.464
1.778,0.009,0.34,42.725,98.694,-195.312
1.781,0.292,0.546,2.014,76.172,-165.1
1.158,0.203,0.66,-41.504,24.292,-132.935
0.473,-0.278,0.368,-44.861,-41.87,-108.215
-0.076,-0.965,-0.177,-31.677,-98.572,-100.83
-0.581,-1.435,-0.705,-41.016,-110.84,-99.976
-0.631,-1.887,-1.13,-10.864,-72.632,-84.9
-0.455,-2.065,-1.07,102.722,-24.841,-74.28
-0.521,-2.143,-0.471,241.089,2.625,-78.247
-0.666,-2.346,0.206,327.637,7.202,-93.933
-0.794,-2.703,0.644,314.087,-3.174,-115.356
-0.94,-2.759,0.557,201.843,-36.743,-135.742
-0.944,-2.573,-0.097,109.863,-91.858,-148.376
-0.894,-2.27,-0.946,104.309,-124.268,-146.729
-0.671,-2.066,-1.184,159.119,-108.704,-128.601
-0.892,-1.321,-1.229,203.491,-63.782,-111.267
-0.777,-1.002,-0.721,205.811,-7.629,-91.492
-0.514,-0.667,-0.389,157.043,33.936,-82.886
-0.432,-0.413,-0.297,92.957,60.974,-70.374
-0.205,-0.457,-0.129,35.583,80.688,-51.025
0.035,-0.518,0.017,0.61,81.177,-38.696
0.172,-0.588,0.095,-9.46,54.321,-34.79
0.102,-0.458,0.053,-10.986,10.071,-33.936
-0.072,-0.37,-0.059,-2.441,-32.043,-21.912
-0.215,-0.477,-0.193,16.479,-61.646,-1.77
-0.363,-0.639,-0.389,32.776,-75.867,10.742
-0.436,-0.813,-0.555,43.457,-70.618,11.108
-0.437,-0.874,-0.635,54.016,-51.392,3.906
-0.264,-0.891,-0.661,68.237,-30.945,-3.479
0.026,-0.893,-0.537,79.285,-17.456,-11.169
0.184,-1.024,-0.522,106.628,-28.748,-15.259
-0.156,-1.185,-0.782,153.503,-54.504,-16.479
-0.282,-1.247,-1.124,195.312,-55.664,-7.568
-0.061,-1.227,-1.12,213.623,-30.396,1.221
0.02,-1.113,-0.979,191.833,-12.329,-6.775
-0.165,-0.74,-0.836,148.926,-7.629,-17.639
-0.151,-0.775,-0.753,113.892,-6.714,-11.536
-0.099,-0.879,-0.785,83.74,-11.658,-2.075
-0.066,-0.986,-0.883,57.251,-18.494,2.808
-0.028,-1.066,-0.953,35.156,-16.174,0.488
-0.083,-0.995,-1.09,9.46,-6.714,-8.972
-0.121,-0.907,-1.092,-21.118,8.789,-15.93
-0.124,-0.855,-0.863,-50.171,27.039,-17.578
-0.27,-0.519,-0.522,-68.542,37.842,-17.273
-0.187,-0.552,-0.427,-66.223,38.391,0.183
-0.04,-0.87,-0.366,-51.208,34.729,15.503
-0.158,-0.679,-0.283,-36.133,26.733,12.207
-0.106,-0.739,-0.212,-20.691,13.123,19.775
-0.072,-0.874,-0.352,-7.629,-5.92,28.076
-0.093,-0.91,-0.56,4.822,-16.479,29.114
-0.06,-0.962,-0.684,10.925,-16.785,28.198
-0.044,-0.971,-0.685,7.629,-11.475,24.292
-0.076,-0.925,-0.729,-0.671,-7.568,18.677
-0.085,-0.971,-0.771,-11.597,-3.479,14.465
-0.095,-1.008,-0.751,-23.987,0.488,10.864
-0.099,-0.958,-0.694,-39.307,0.366,7.324
-0.086,-0.91,-0.62,-54.932,-0.977,6.592
-0.078,-0.89,-0.541,-64.026,-1.709,6.348
-0.071,-0.878,-0.483,-65.369,-1.526,5.432
-0.075,-0.849,-0.45,-60.12,-1.221,5.066
-0.079,-0.825,-0.471,-52.917,-2.38,6.592
-0.073,-0.837,-0.483,-49.438,-3.906,9.277
-0.142,-0.714,-0.616,-46.021,-3.357,12.268
-0.011,-0.859,-0.436,-39.856,6.775,19.226
-0.01,-0.935,-0.398,-38.391,8.484,22.461
-0.021,-0.952,-0.418,-35.156,5.005,18.799
-0.029,-1.019,-0.409,-33.447,0.732,15.686
-0.078,-1.011,-0.41,-30.029,-2.869,9.827
-0.063,-0.976,-0.492,-24.658,-4.944,4.761
-0.062,-0.952,-0.513,-20.63,-3.845,2.991
-0.025,-0.82,-0.562,-21.362,-2.686,2.686
-0.037,-0.825,-0.511,-22.766,-1.16,8.606
-0.176,-0.907,-0.473,-29.297,-2.563,15.503
-0.17,-0.942,-0.462,-37.659,-3.784,19.592
-0.085,-0.946,-0.446,-43.579,-4.578,24.17
-0.07,-0.919,-0.467,-46.753,-7.385,28.503
-0.088,-0.918,-0.491,-46.936,-9.338,33.386
-0.082,-0.931,-0.49,-48.767,-9.766,39.612
-0.035,-0.971,-0.469,-53.162,-10.986,46.387
-0.038,-1.002,-0.476,-62.195,-15.503,51.147
-0.049,-0.996,-0.472,-73.547,-20.813,54.443
